"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"1801","2477","美隆電","20.7","-0.1","-0.48","26W32","08/07","20.7","-0.2","23.5","-0.2","26.1","-0.25","28.8","+0.01"
"1802","2887I","台新新光辛特","9.51","-0.01","-0.11","26W32","08/07","18.5","-0.06","22.5","-0.08","26.5","-0.12","29.3","-0.09"
"1803","2454","聯發科","3985","+120","+3.1","26W32","08/07","15.4","-0.14","20.1","-0.06","25.9","+0.03","30.3","+0.15"
"1804","2739","寒舍","37.75","-0.5","-1.31","26W32","08/07","20.8","+0.14","24.7","+0.3","26.3","+0.05","27.8","-0.63"
"1805","4558","寶緯","18.65","+1.2","+6.88","26W32","08/07","16","+0.04","18.8","+0.06","27.1","+0.08","40.1","0"
"1806","2702","華園","12.7","+0.05","+0.4","26W32","08/07","21.1","-0.08","24.1","-0.01","26.3","0","26.5","0"
"1807","2640","大車隊","158","+1.5","+0.96","26W32","08/07","14.2","+0.03","17.8","-0.21","26.2","-0.21","32.5","+0.04"
"1808","6971","惠民實業","26.35","+0.05","+0.19","26W32","08/07","20.6","+0.06","24.1","-0.02","26.2","0","32.1","0"
"1809","2520","冠德","35.3","-0.35","-0.98","26W32","08/07","20.9","+0.07","24.2","+0.04","27.1","-0.13","29.2","+0.09"
"1810","4113","聯上","15.1","0","0","26W32","08/07","15.8","+0.03","20.7","-0.11","25.5","+0.16","30.1","+0.16"
"1811","2379","瑞昱","722","-8","-1.1","26W32","08/07","13.5","-0.16","18.3","-0.31","25.3","-0.11","31.5","-0.63"
"1812","2204","中華","53.4","-0.6","-1.11","26W32","08/07","22","+0.6","24.4","+0.72","26.1","+0.67","27","+0.43"
"1813","8162","微矽電子-創","63.6","+0.8","+1.27","26W32","08/07","17.7","+0.18","22.2","-0.27","26","+0.01","30.3","+0.01"
"1814","6577","勁豐","80.8","+0.5","+0.62","26W32","08/07","20.8","-0.05","23.2","0","26","0","27.7","0"
"1815","9905","大華","21.55","+0.1","+0.47","26W32","08/07","20.7","-0.05","22.9","-0.04","26","-0.13","27.3","0"
