"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股800張以下(%)","800張以下增減","持股1千張以下(%)","1千張以下增減","持股超過1千張(%)","超過1千張增減"
"2356","00870B","元大15年EM主權債","27.9","-0.02","-0.07","26W28","07/09","0.59","+0.01","0.59","+0.01","99.4","-0.01"
"2357","00746B","富邦A級公司債","35.01","-0.28","-0.79","26W28","07/09","0.51","+0.01","0.55","+0.05","99.5","-0.05"
"2358","00779B","凱基美債25+","27.69","-0.27","-0.97","26W28","07/09","0.4","0","0.48","0","99.5","0"
"2359","00849B","中信EM主權債0-5","37.76","-0.03","-0.08","26W28","07/09","0.39","0","0.39","0","99.6","0"
"2360","00791B","復華信用債1-5","57.45","-0.05","-0.09","26W28","07/09","0.5","0","0.5","0","99.5","0"
"2361","00723B","群益投資級科技債","29.85","-0.3","-1","26W28","07/09","0.31","+0.03","0.31","+0.03","99.7","-0.03"
"2362","00785B","富邦金融投等債","34.63","-0.29","-0.83","26W28","07/09","0.25","0","0.25","-0.09","99.8","+0.09"
"2363","00867B","台新A-BBB電信債","30.29","-0.28","-0.92","26W28","07/09","0.18","0","0.18","0","99.8","0"
"2364","00754B","群益AAA-AA公司債","32.43","-0.42","-1.28","26W28","07/09","0.3","+0.03","0.3","+0.03","99.7","-0.03"
"2365","00749B","凱基新興債10+","31.24","-0.1","-0.32","26W28","07/09","0.24","0","0.24","0","99.8","0"
"2366","00792B","群益A級公司債","31.2","-0.32","-1.02","26W28","07/09","0.17","0","0.21","+0.04","99.8","-0.04"
"2367","00777B","凱基AAA至A公司債","31.84","-0.26","-0.81","26W28","07/09","0.06","0","0.11","0","99.9","0"
"2368","00778B","凱基金融債20+","33.91","-0.37","-1.08","26W28","07/09","0.1","0","0.1","0","99.9","0"
