"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"1501","2497","怡利電","45.65","-0.2","-0.44","26W31","07/31","26.1","+1.63","29.4","+1.69","33.8","+3.11","36.8","+2.82"
"1502","2883B","凱基金乙特","8.18","-0.01","-0.12","26W31","07/31","21.2","-0.09","27.3","-0.17","34.1","-0.26","38.3","-0.35"
"1503","6934","心誠鎂","74.1","+1.7","+2.35","26W31","07/31","20.2","-0.15","25.9","-0.05","33.9","-0.05","35.2","+0.02"
"1504","3443","創意","6015","+95","+1.6","26W31","07/31","22.2","+0.36","27.4","+0.35","36","+0.14","41.5","-0.04"
"1505","2221","大甲","79.7","+5.1","+6.84","26W31","07/31","28.7","-0.26","31.7","-0.57","33.9","-0.42","35.3","0"
"1506","4569","六方科-KY","165.5","-3","-1.78","26W31","07/31","16.6","+0.5","19.8","+0.17","33.8","+0.17","37.5","+2.09"
"1507","9945","潤泰新","28","-0.6","-2.1","26W31","07/31","25.7","-0.18","30.5","-0.28","34.7","-0.33","36.8","-0.35"
"1508","1324","地球","10.25","+0.05","+0.49","26W31","07/31","29.2","+0.09","31.8","-0.09","33.8","-0.09","36.3","-0.09"
"1509","6409","旭隼","1030","-15","-1.44","26W31","07/31","20.5","+0.04","26.8","-0.28","33.3","+0.71","41.7","+0.86"
"1510","6951","青新-創","72","+0.4","+0.56","26W31","07/31","24.7","0","29.3","-0.03","33.8","0","34.6","0"
"1511","1799","易威","29.95","-0.1","-0.33","26W31","07/31","24.9","+2.86","30.2","+2.97","33.7","+1.86","34.8","+1.86"
"1512","8916","光隆","41.1","+0.1","+0.24","26W31","07/31","23.4","+0.13","28.6","+0.03","33.8","+0.33","36.3","-0.03"
"1513","4571","鈞興-KY","160.5","-0.5","-0.31","26W31","07/31","26.9","+0.41","30","-0.05","33.7","-0.05","38.7","-0.05"
"1514","5468","凱鈺","25.35","-0.2","-0.78","26W31","07/31","25","-0.18","28.2","-0.18","33.7","-0.24","35.4","-0.24"
"1515","3022","威強電","90.3","-1.2","-1.31","26W31","07/31","28","-0.41","31.1","-0.76","35","-0.83","38.9","-0.27"
"1516","4576","大銀微系統","216","+0.5","+0.23","26W31","07/31","28.2","+0.06","30.8","+0.22","34.3","-0.18","36","-0.66"
"1517","3205","佰研","47.1","-0.7","-1.46","26W31","07/31","23.2","-0.14","28.3","-0.35","33.6","0","35","0"
"1518","6274","台燿","1490","+45","+3.11","26W31","07/31","23.8","+0.52","28.1","+0.55","33.3","+0.14","36.2","+0.09"
"1519","4205","中華食","69.3","-0.4","-0.57","26W31","07/31","23.2","+0.02","26.9","+0.02","33.6","0","37.1","0"
"1520","2324","仁寶","39.7","-0.05","-0.13","26W31","07/31","31.5","+0.2","34.2","+0.2","36.6","+0.29","38.1","+0.27"
"1521","7769","鴻勁","6490","+145","+2.29","26W31","07/31","18","+0.14","24.6","-0.24","32.2","-0.54","37.3","-0.81"
"1522","1532","勤美","22.9","-0.05","-0.22","26W31","07/31","23.5","-0.05","28.7","-0.13","33.5","+0.01","37.2","-0.2"
"1523","8481","政伸","41.2","0","0","26W31","07/31","16.5","0","24.8","0","33.5","0","39.3","0"
"1524","2941","米斯特","29.85","+0.05","+0.17","26W31","07/31","15.8","0","22.8","0","33.5","0","51.8","0"
"1525","2377","微星","145","0","0","26W31","07/31","29","+0.58","31.4","+0.8","34.1","+0.59","36.7","+0.62"
"1526","3432","台端","14.6","0","0","26W31","07/31","26.6","-0.07","32.1","-0.03","33.5","0","35.9","0"
"1527","8462","柏文","171","-3","-1.72","26W31","07/31","23.7","-0.33","28.3","-0.39","34","-0.6","38.2","+0.7"
"1528","2705","六福","15.7","-0.05","-0.32","26W31","07/31","26","-0.13","30.2","-0.11","33.6","-0.08","36.5","-0.08"
"1529","7714","創泓科技","174.5","-9.5","-5.16","26W31","07/31","27.2","+2.02","31.4","0","33.4","0","41.1","0"
"1530","4190","佐登-KY","25.95","0","0","26W31","07/31","27.2","-0.08","30.8","-0.08","33.7","-0.08","33.7","-0.08"
"1531","6776","展碁國際","53.2","0","0","26W31","07/31","27.8","+0.11","29.7","-0.2","33.9","+0.07","36.1","0"
"1532","3704","合勤控","42","-0.45","-1.06","26W31","07/31","26.2","-0.18","29.7","-0.22","33.1","+0.02","36.3","-0.13"
"1533","2755","揚秦","102","-0.5","-0.49","26W31","07/31","22.2","+0.07","29.3","+0.59","36.5","+0.01","39","+0.01"
"1534","2852","第一保","28.1","-0.35","-1.23","26W31","07/31","22.4","-0.11","28.5","0","34.1","+0.03","37.5","-0.12"
"1535","6846","綠茵","57.6","+0.2","+0.35","26W31","07/31","22.3","-0.41","25.8","-0.01","33.2","0","33.2","0"
"1536","3617","碩天","243.5","-5","-2.01","26W31","07/31","20.7","-0.3","24.5","-0.3","33","-0.11","40.5","-0.02"
"1537","6697","東捷資訊","40.6","-0.8","-1.93","26W31","07/31","29.6","+0.08","33.2","0","33.2","0","36.5","0"
"1538","6605","帝寶","139","-3","-2.11","26W31","07/31","25.4","-0.35","29.6","-0.4","33.9","-0.56","36.9","+0.35"
"1539","3577","泓格","114","+0.5","+0.44","26W31","07/31","19.9","-0.79","26","+0.79","33.3","+0.57","37.1","-0.07"
"1540","2059","川湖","14300","-40","-0.28","26W31","07/31","18.1","+0.19","27.8","+0.57","34","+0.51","39","+1.02"
"1541","6465","威潤","48.4","+1.9","+4.09","26W31","07/31","22.5","-0.56","29.7","-0.68","32.3","-0.27","35.8","+0.86"
"1542","00683L","期元大美元指正2","21.25","0","0","26W31","07/31","22.4","-0.37","31.9","-0.38","33.9","-0.63","46.3","-0.74"
"1543","8045","達運光電","53.2","+0.7","+1.33","26W31","07/31","20.2","+0.1","26.6","+0.07","32.8","-0.41","37.3","+0.01"
"1544","6121","新普","405.5","-3.5","-0.86","26W31","07/31","19.7","+0.36","25.1","+0.22","33.2","+0.48","41.3","+0.48"
"1545","1455","集盛","9.97","-0.01","-0.1","26W31","07/31","26.6","-0.2","30.1","-0.2","33","-0.21","35.2","-0.31"
"1546","1467","南緯","8.28","-0.08","-0.96","26W31","07/31","23.6","-0.27","28.4","-0.22","32.9","-0.24","36.1","-0.26"
"1547","5604","中連","30.75","0","0","26W31","07/31","18.4","+0.01","25.8","+0.01","32.9","+0.01","39.1","0"
"1548","8182","加高","40.8","+0.15","+0.37","26W31","07/31","28.8","-0.28","31.3","-0.15","33.1","-0.07","34.1","-0.56"
"1549","8941","關中","44","+0.5","+1.15","26W31","07/31","15.1","-0.02","21.8","-0.02","32.9","-0.02","39.1","-0.02"
"1550","1218","泰山","14.55","-0.05","-0.34","26W31","07/31","25.1","-0.1","28.7","-0.13","32.4","-0.28","33.8","+0.14"
"1551","6474","華豫寧","37.2","-0.65","-1.72","26W31","07/31","17","-0.22","23.2","0","32.5","0","40.8","0"
"1552","4995","晶達","50.5","+0.5","+1","26W31","07/31","21.5","-0.18","27.2","+0.08","33.2","+0.88","38.9","-0.06"
"1553","2476","鉅祥","125.5","-1","-0.79","26W31","07/31","24.8","-0.25","29.5","-0.25","32.7","-0.3","35.7","-0.83"
"1554","2393","億光","66.2","-0.3","-0.45","26W31","07/31","25.7","+0.97","28.8","+0.72","32.6","+0.57","35.9","+0.77"
"1555","9914","美利達","83.1","-1.3","-1.54","26W31","07/31","25.2","-0.19","28.6","-0.31","33.4","+0.06","36.2","-0.54"
"1556","4527","方土霖","41","+0.15","+0.37","26W31","07/31","22.2","-0.06","26.4","-0.06","33.2","-0.06","36.3","-0.06"
"1557","7842","天能綠電","101.5","-3.5","-3.33","26W31","07/31","26.3","0","29.3","0","35.3","0","37.7","0"
"1558","9136","巨騰-DR","11.7","-0.1","-0.85","26W31","07/31","23.2","-0.01","27.5","+0.2","31.7","-0.42","33.4","-0.11"
"1559","6576","逸達","80.1","+0.1","+0.12","26W31","07/31","22.4","-0.09","27.7","-0.17","32.8","-0.16","35","-0.16"
"1560","1227","佳格","28.65","-0.2","-0.69","26W31","07/31","27.7","-0.55","30.3","-0.55","32.2","-0.55","33.8","-0.52"
"1561","8210","勤誠","990","+30","+3.12","26W31","07/31","21.2","+0.09","24.2","-0.1","29.9","+0.36","32.7","+0.33"
"1562","8093","保銳","27.45","+0.2","+0.73","26W31","07/31","22.4","-0.19","27","0","32.4","0","34.3","0"
"1563","8433","弘帆","55.3","-0.2","-0.36","26W31","07/31","24.1","-0.03","28.1","-0.02","32.5","-0.01","36.8","0"
"1564","3265","台星科","186.5","+10","+5.67","26W31","07/31","28.1","-0.15","31.2","-0.23","35.5","+0.5","38.5","+0.12"
"1565","6482","弘煜科","24.75","-0.4","-1.59","26W31","07/31","27.9","+0.02","29.4","0","32.4","0","34.2","0"
"1566","9911","櫻花","82.9","0","0","26W31","07/31","25.1","+0.17","28.3","-0.04","32","-0.12","34.5","+0.09"
"1567","1220","台榮","10.9","0","0","26W31","07/31","22.4","-0.14","26.4","-0.14","32.4","-0.02","34.6","-0.02"
"1568","9934","成霖","11.1","-0.15","-1.33","26W31","07/31","22.2","-0.06","27.9","-0.16","32.8","-0.14","37.2","+0.01"
"1569","6617","共信-KY","122.5","-6","-4.67","26W31","07/31","23","-0.18","28.5","+0.27","32.4","0","35.8","0"
"1570","6417","韋僑","106","0","0","26W31","07/31","14.2","+0.19","22.9","+0.81","32.2","-0.86","37.7","-0.06"
"1571","6525","捷敏-KY","144.5","+3","+2.12","26W31","07/31","22.6","-0.09","26","-0.19","30.4","-0.34","33.9","+0.2"
"1572","3465","進泰電子","29.25","-0.15","-0.51","26W31","07/31","20.2","+0.05","27.8","+0.32","33.9","-0.09","38.2","-0.09"
"1573","6829","千附精密","238","-2.5","-1.04","26W31","07/31","27.2","+0.34","30","+0.12","32.9","+0.15","33.6","0"
"1574","2850","新產","160.5","-3","-1.83","26W31","07/31","22.9","-0.14","27.1","-0.15","32.1","+0.04","35.4","-0.78"
"1575","6569","醫揚","92.6","-0.9","-0.96","26W31","07/31","24.6","+0.04","27.7","+0.05","33.4","0","36.8","0"
"1576","00852L","國泰美國道瓊正2","35.79","-0.05","-0.14","26W31","07/31","19.7","+0.88","22.7","-0.91","33.2","-1.09","40.4","-1.11"
"1577","5864","致和證","35.95","+1.3","+3.75","26W31","07/31","21.3","+0.37","26.6","+0.39","32.1","+0.24","35.1","+0.3"
"1578","1521","大億","25.9","-0.1","-0.38","26W31","07/31","27.3","-0.01","29","-0.01","32.3","0","33","0"
"1579","1313","聯成","11.85","-0.3","-2.47","26W31","07/31","24.7","+0.18","28.9","+0.28","32.5","+0.44","34.4","+0.42"
"1580","6903","巨漢","317","+3","+0.96","26W31","07/31","24.4","+0.74","28.2","+1.82","31.3","+0.83","32.6","0"
"1581","1904","正隆","25.15","-0.3","-1.18","26W31","07/31","26.3","-0.13","30.2","-0.02","33.1","-0.08","34.7","-0.03"
"1582","4807","日成-KY","28","+0.35","+1.27","26W31","07/31","18.3","-0.1","23.1","+0.5","31.8","+0.04","33.8","+0.04"
"1583","1909","榮成","10.85","-0.05","-0.46","26W31","07/31","23.9","-0.11","28.4","-0.11","32.4","-0.18","34.6","-0.11"
"1584","2243","宏旭-KY","41.35","-1.3","-3.05","26W31","07/31","18.5","-0.17","23.4","-0.34","31.9","+1.08","37.9","-0.19"
"1585","7822","倍利科","953","+2","+0.21","26W31","07/31","27","0","29.8","0","31.8","0","33.1","0"
"1586","5511","德昌","71.2","-0.3","-0.42","26W31","07/31","20.6","-0.44","28.1","-0.49","33.7","-0.63","37.6","-0.14"
"1587","3040","遠見","37.4","-0.2","-0.53","26W31","07/31","24.3","+0.44","26.3","-0.58","31.7","+0.46","36","+0.44"
"1588","4192","杏國","19.05","-0.8","-4.03","26W31","07/31","25.8","-0.01","29.9","-0.01","31.8","-0.01","33.4","0"
"1589","3528","安馳","83.6","-0.5","-0.59","26W31","07/31","23.5","+0.29","27.5","+0.09","30.3","-0.49","33.9","+0.16"
"1590","6451","訊芯-KY","453.5","+1.5","+0.33","26W31","07/31","24.7","+0.81","27.2","+0.81","30.3","+0.89","33.8","+3.04"
"1591","2066","世德","54","-0.3","-0.55","26W31","07/31","23.8","-0.13","27.5","-0.02","31","-0.04","37.5","-0.02"
"1592","4568","科際精密","39.9","0","0","26W31","07/31","20.6","+0.49","25.1","+0.02","31.6","0","38.1","0"
"1593","7777","能率亞洲","40.15","-1.35","-3.25","26W31","07/31","27.6","-0.47","30.2","+0.28","32.4","+0.57","33.2","+0.08"
"1594","6691","洋基工程","618","-7","-1.12","26W31","07/31","19.7","+0.66","24.1","+0.93","31.6","+0.84","37.8","+0.6"
"1595","8473","山林水","45.9","-0.5","-1.08","26W31","07/31","24.1","-0.16","27.2","-0.36","30.4","-0.06","31.8","-0.06"
