排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1782,00890B,凱基ESGBBB債15+,31.04,-0.02,-0.06,26W36,09/04,28.8,0.0,34.3,0.0,65.7,0.0
1783,2538,基泰,8.89,0.0,0.0,26W36,09/04,32.6,0.07,34.2,0.27,65.8,-0.27
1784,6482,弘煜科,25.15,0.4,1.62,26W36,09/04,34.2,0.0,34.2,0.0,65.8,0.0
1785,7782,光速火箭,26.55,0.0,0.0,26W36,09/04,30.7,-0.01,34.2,0.0,65.8,0.0
1786,1447,力鵬,6.71,-0.04,-0.59,26W36,09/04,33.1,-0.14,34.1,-0.05,65.9,0.05
1787,7820,立盈,118.0,0.0,0.0,26W36,09/04,31.9,-0.09,34.1,-0.09,65.9,0.09
1788,3189,景碩,819.0,44.0,5.68,26W36,09/04,32.6,2.37,34.1,2.7,65.9,-2.7
1789,4728,雙美,398.0,-5.0,-1.24,26W36,09/04,30.7,0.0,34.1,0.0,65.9,0.0
1790,2534,宏盛,17.1,-0.05,-0.29,26W36,09/04,32.3,0.13,34.0,-0.06,66.0,0.06
1791,6794,向榮生技,73.7,-1.3,-1.73,26W36,09/04,28.2,0.02,34.0,0.02,66.0,-0.02
1792,7716,昱臺國際,23.5,-0.3,-1.26,26W36,09/04,29.8,0.0,33.9,0.0,66.1,0.0
1793,7547,碩網,50.8,0.2,0.4,26W36,09/04,28.5,0.0,33.9,0.0,66.1,0.0
1794,9944,新麗,17.2,0.0,0.0,26W36,09/04,33.1,-0.01,33.8,-0.01,66.2,0.01
1795,2851,中再保,46.65,-0.65,-1.37,26W36,09/04,32.8,0.29,33.8,0.07,66.2,-0.07
1796,8342,益張,87.0,0.0,0.0,26W36,09/04,30.8,-0.01,33.7,-0.01,66.3,0.01
1797,6166,凌華,121.5,7.5,6.58,26W36,09/04,29.9,0.63,33.7,1.13,66.3,-1.13
1798,3709,鑫聯大投控,65.7,0.8,1.23,26W36,09/04,31.8,0.09,33.7,0.78,66.3,-0.78
1799,5508,永信建,55.1,0.9,1.66,26W36,09/04,33.7,-0.08,33.7,-0.46,66.3,0.46
1800,8473,山林水,45.7,-0.45,-0.98,26W36,09/04,33.7,-0.32,33.7,-1.33,66.3,1.33
