排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
301,00983D,主動富邦複合收益,9.91,-0.03,-0.3,26W35,08/28,44.9,-0.21,58.7,0.02,70.0,-0.23,80.3,-0.19
302,00652,富邦印度,33.0,-0.07,-0.21,26W35,08/28,59.9,1.36,66.8,1.57,70.0,2.24,74.5,1.4
303,6462,神盾,101.0,0.5,0.5,26W35,08/28,59.3,-0.3,64.4,-0.42,69.9,0.7,73.5,0.81
304,3236,千如,46.1,1.95,4.42,26W35,08/28,60.2,0.24,64.2,0.1,69.8,0.92,71.9,0.04
305,00781B,國泰A級科技債,27.15,-0.15,-0.55,26W35,08/28,54.8,0.2,66.8,0.23,69.8,0.23,82.0,0.0
306,3213,茂訊,128.0,0.5,0.39,26W35,08/28,54.5,0.81,63.6,0.53,69.7,1.76,75.6,1.99
307,00631L,元大台灣50正2,36.3,0.35,0.97,26W35,08/28,44.7,-1.02,58.3,-1.07,69.6,-1.11,74.4,-1.02
308,3390,旭軟,22.35,-0.2,-0.89,26W35,08/28,51.4,0.0,60.6,0.03,69.6,0.02,72.0,0.04
309,1310,台苯,8.43,-0.26,-2.99,26W35,08/28,57.4,-0.19,64.0,-0.33,69.6,-0.23,73.0,-0.13
310,00719B,元大美債1-3,30.97,-0.13,-0.42,26W35,08/28,49.0,0.05,59.4,0.21,69.6,0.27,72.2,0.07
311,3325,旭品,11.25,0.0,0.0,26W35,08/28,53.6,-0.21,60.8,-0.03,69.6,0.02,76.5,0.0
312,3615,安可,38.05,-0.75,-1.93,26W35,08/28,61.9,-0.67,64.2,-1.0,69.5,-0.37,72.9,-0.37
313,00660,元大歐洲50,46.55,-0.06,-0.13,26W35,08/28,38.0,0.16,46.0,-0.23,69.4,-0.23,83.5,-0.23
314,00757,統一FANG+,138.7,0.75,0.54,26W35,08/28,60.4,1.56,66.4,1.63,69.4,1.69,70.8,1.72
315,8936,國統,51.1,-0.1,-0.2,26W35,08/28,57.5,-0.21,64.6,-0.02,69.4,0.02,71.9,-0.42
316,00752,中信中國50,23.21,-0.04,-0.17,26W35,08/28,54.2,0.48,63.8,0.5,69.3,0.65,71.9,0.66
317,4976,佳凌,39.15,-0.85,-2.12,26W35,08/28,59.2,-0.11,64.7,-0.3,69.3,-0.54,71.4,0.28
318,6122,擎邦,48.65,-0.05,-0.1,26W35,08/28,57.5,-0.39,63.1,-0.61,69.2,0.4,69.9,-0.13
319,8011,台通,16.1,0.0,0.0,26W35,08/28,58.8,-0.17,63.0,-0.27,69.2,0.13,71.9,-0.07
320,911608,明輝-DR,2.68,0.06,2.29,26W35,08/28,46.3,-0.06,60.4,-0.06,69.2,-0.05,76.5,-0.06
321,5315,光聯,19.25,-0.25,-1.28,26W35,08/28,50.9,-0.07,60.8,-0.25,69.2,0.02,72.9,-0.02
322,3014,聯陽,131.5,-0.5,-0.38,26W35,08/28,54.9,-0.1,61.1,0.12,69.2,0.68,73.8,0.2
323,00668,國泰美國道瓊,61.95,-0.3,-0.48,26W35,08/28,55.6,0.22,63.9,0.53,69.2,-2.6,69.2,-2.6
324,1582,信錦,76.8,0.9,1.19,26W35,08/28,58.0,-0.55,63.9,-0.19,69.1,0.13,71.4,-0.23
325,1528,恩德,19.55,0.05,0.26,26W35,08/28,61.6,-0.3,65.2,-0.28,69.0,-0.37,70.9,-0.19
326,2480,敦陽科,157.0,0.5,0.32,26W35,08/28,54.0,-0.18,61.9,0.19,69.0,0.0,75.2,0.01
327,6169,昱泉,12.65,-0.05,-0.39,26W35,08/28,59.6,0.0,63.0,0.0,69.0,0.0,73.6,0.0
328,00847B,中信美國市政債,24.62,-0.19,-0.77,26W35,08/28,46.0,-0.34,61.6,3.61,69.0,-9.36,78.3,-0.05
329,6432,今展科,65.4,1.6,2.51,26W35,08/28,60.2,0.66,66.8,0.45,68.9,1.31,71.2,0.1
330,6672,騰輝電子-KY,289.5,8.0,2.84,26W35,08/28,59.4,0.25,64.0,0.88,68.9,0.39,72.4,-0.03
331,00408A,主動第一金優股息,10.56,0.07,0.67,26W35,08/28,55.6,-0.2,64.3,-0.43,68.8,-0.15,73.8,-0.22
332,3128,昇銳,20.7,-0.1,-0.48,26W35,08/28,54.8,0.9,61.3,1.27,68.8,1.05,69.9,-0.03
333,8071,能率網通,24.5,0.1,0.41,26W35,08/28,57.6,-0.98,65.5,-0.89,68.8,-0.17,71.8,-0.22
334,3441,聯一光,130.0,-7.5,-5.45,26W35,08/28,56.3,-1.26,61.7,-1.65,68.8,-1.43,71.1,-3.74
335,2439,美律,78.5,0.2,0.26,26W35,08/28,60.2,1.71,64.8,1.81,68.7,2.14,72.9,2.37
336,00635U,期元大S&P黃金,47.38,-0.42,-0.88,26W35,08/28,58.6,0.07,64.3,0.03,68.6,0.03,70.0,0.04
337,00712,復華富時不動產,8.73,-0.02,-0.23,26W35,08/28,41.1,0.6,56.0,0.62,68.5,0.77,74.4,0.86
338,00922,國泰台灣領袖50,41.53,0.47,1.14,26W35,08/28,60.2,-0.06,65.7,-0.03,68.5,0.04,69.6,0.07
339,00706L,期元大S&P日圓正2,18.88,-0.02,-0.11,26W35,08/28,43.8,0.27,58.0,0.09,68.4,0.31,72.5,0.34
340,3587,閎康,252.5,-1.5,-0.59,26W35,08/28,56.2,-0.29,60.8,0.35,68.4,1.21,69.2,0.89
341,3455,由田,254.0,-0.5,-0.2,26W35,08/28,51.2,0.57,58.6,-0.9,68.3,1.89,75.5,-0.06
342,3317,尼克森,66.7,0.0,0.0,26W35,08/28,61.2,-0.1,64.7,0.09,68.3,-0.06,73.2,-0.07
343,2601,益航,6.78,-0.08,-1.17,26W35,08/28,56.1,0.11,62.6,0.03,68.3,0.0,70.8,0.04
344,4966,譜瑞-KY,584.0,-6.0,-1.02,26W35,08/28,48.5,0.93,57.6,0.45,68.1,1.22,73.4,0.26
345,2929,淘帝-KY,5.7,0.0,0.0,26W35,08/28,51.8,-0.06,62.8,-0.04,68.1,-0.03,71.0,0.01
346,00887,永豐中國科技50大,16.3,0.0,0.0,26W35,08/28,47.8,-0.49,60.1,-0.11,68.1,-0.65,73.4,-0.48
347,5222,全訊,107.0,1.0,0.94,26W35,08/28,53.4,0.44,60.5,-0.03,67.9,-0.16,72.9,-0.17
348,6799,來頡,80.5,-1.4,-1.71,26W35,08/28,57.4,0.14,62.4,-0.33,67.9,-0.13,70.1,-0.18
349,3419,譁裕,11.95,0.05,0.42,26W35,08/28,54.0,0.03,60.9,0.07,67.9,0.0,71.0,0.0
350,2369,菱生,32.35,0.9,2.86,26W35,08/28,61.4,0.14,64.9,-0.05,67.8,0.03,69.8,0.18
351,1609,大亞,38.1,0.35,0.93,26W35,08/28,60.0,-0.24,65.0,-0.27,67.7,-0.44,69.4,-0.36
352,009809,富邦淨零ESG50,17.82,0.21,1.19,26W35,08/28,54.8,-0.42,58.7,-0.42,67.7,-0.42,72.8,-0.43
353,6215,和椿,98.4,0.2,0.2,26W35,08/28,61.2,0.2,63.8,-0.08,67.6,-0.04,69.5,-0.01
354,4749,新應材,790.0,1.0,0.13,26W35,08/28,51.1,0.16,57.5,0.09,67.5,1.05,73.9,2.56
355,4540,全球傳動,60.2,-1.2,-1.95,26W35,08/28,60.9,-1.26,64.2,-0.94,67.5,-1.24,69.7,-0.38
356,3710,連展投控,5.08,0.04,0.79,26W35,08/28,49.0,-0.18,58.9,-0.25,67.4,-0.3,73.1,-0.01
357,6830,汎銓,525.0,-5.0,-0.94,26W35,08/28,52.4,0.41,58.9,1.02,67.4,-0.41,74.4,1.39
358,5289,宜鼎,1470.0,-20.0,-1.34,26W35,08/28,51.9,0.33,58.7,0.85,67.4,0.44,72.9,-0.59
359,009810,玉山全球藍籌100,21.25,0.03,0.14,26W35,08/28,54.5,0.08,59.0,0.08,67.3,0.53,72.2,0.5
360,5274,信驊,15630.0,325.0,2.12,26W35,08/28,43.6,-0.03,55.0,-0.18,67.3,0.31,76.4,-1.2
361,3548,兆利,90.9,6.4,7.57,26W35,08/28,56.2,-0.26,61.5,-0.17,67.3,-0.04,71.0,-0.04
362,6438,迅得,151.0,2.5,1.68,26W35,08/28,54.8,-0.13,59.2,-0.33,67.3,-0.09,68.9,-0.09
363,4171,瑞基,17.15,-0.05,-0.29,26W35,08/28,56.7,-0.12,62.6,-0.35,67.3,0.01,68.3,0.01
364,8440,綠電,20.55,-0.1,-0.48,26W35,08/28,61.7,-0.52,65.2,-0.01,67.3,0.0,69.0,0.0
365,6231,系微,220.5,4.5,2.08,26W35,08/28,53.9,-0.12,61.6,0.59,67.2,0.13,72.0,0.16
366,8176,智捷,9.81,-0.04,-0.41,26W35,08/28,47.6,-0.27,56.7,-0.05,67.2,-0.05,72.2,-0.04
367,00943,兆豐電子高息等權,21.38,-0.05,-0.23,26W35,08/28,62.1,-0.12,64.9,-0.12,67.1,-0.14,67.1,-0.14
368,6532,瑞耘,89.2,-1.4,-1.55,26W35,08/28,52.8,0.35,56.9,-0.37,67.1,0.37,74.1,0.0
369,6244,茂迪,24.4,0.15,0.62,26W35,08/28,57.1,0.18,62.5,0.15,67.1,0.23,70.6,0.62
370,0061,元大寶滬深,24.37,-0.11,-0.45,26W35,08/28,48.7,-0.1,57.0,-0.03,67.1,-0.03,72.4,0.57
371,3607,谷崧,14.15,-0.2,-1.39,26W35,08/28,48.3,-0.2,56.9,-0.01,67.1,0.2,71.1,0.59
372,8049,晶采,24.45,-0.05,-0.2,26W35,08/28,57.3,0.0,62.9,-0.04,67.0,-0.02,69.0,-0.02
373,2399,映泰,46.9,0.3,0.64,26W35,08/28,59.5,0.05,63.3,-0.37,66.9,-0.5,69.5,0.61
374,3056,富華新,14.2,-0.2,-1.39,26W35,08/28,53.0,-0.17,60.3,-0.1,66.8,-0.06,69.1,-0.39
375,1527,鑽全,32.7,-0.05,-0.15,26W35,08/28,56.9,-0.07,62.8,-0.08,66.6,-0.1,68.7,-0.08
376,4721,美琪瑪,74.8,-0.2,-0.27,26W35,08/28,57.3,0.05,60.3,-0.15,66.6,-0.28,69.8,-0.28
377,3484,崧騰,50.3,-0.4,-0.79,26W35,08/28,49.3,-0.12,57.7,0.31,66.5,-1.46,71.4,0.4
378,3430,奇鈦科,115.0,-1.5,-1.29,26W35,08/28,54.4,-0.02,60.0,0.02,66.5,0.0,66.5,0.0
379,5251,天鉞電,25.95,0.1,0.39,26W35,08/28,56.2,-0.39,61.4,-0.01,66.5,-0.02,68.3,-0.02
380,00989B,台新美國非投等債,10.03,-0.04,-0.4,26W35,08/28,43.6,0.92,55.6,1.07,66.5,1.18,69.6,-0.16
381,8104,錸寶,31.5,-0.3,-0.94,26W35,08/28,55.3,-0.3,60.6,-0.75,66.4,0.08,67.5,0.05
382,8033,雷虎,189.5,-9.5,-4.77,26W35,08/28,57.0,-2.36,61.1,-2.77,66.3,-2.73,70.2,-2.4
383,00685L,群益臺灣加權正2,11.96,0.12,1.01,26W35,08/28,40.8,-2.56,53.8,-3.15,65.9,-3.71,71.9,-3.84
384,00633L,富邦上証正2,48.77,0.07,0.14,26W35,08/28,38.7,-0.16,51.9,-0.2,65.7,-1.15,71.4,-1.46
385,3546,宇峻,71.8,0.1,0.14,26W35,08/28,53.0,0.29,61.1,-0.03,65.7,-0.06,68.2,-0.06
386,1536,和大,50.3,-0.8,-1.57,26W35,08/28,56.5,-0.02,60.7,-0.05,65.6,0.07,68.3,0.09
387,912000,晨訊科-DR,2.42,0.0,0.0,26W35,08/28,42.7,0.58,55.5,0.83,65.6,0.61,71.4,0.84
388,3057,喬鼎,17.3,0.2,1.17,26W35,08/28,52.5,-0.14,59.7,-0.3,65.5,0.0,66.1,0.0
389,3268,海德威,17.7,-0.1,-0.56,26W35,08/28,49.5,0.41,56.7,0.09,65.5,-0.04,71.6,-0.03
390,00990A,主動元大AI新經濟,15.37,-0.19,-1.22,26W35,08/28,48.9,0.17,58.8,0.22,65.5,0.17,69.3,0.24
391,5309,系統電,54.2,-0.5,-0.91,26W35,08/28,56.8,0.0,61.4,-0.25,65.4,0.06,68.8,-0.15
392,1340,勝悅-KY,5.23,-0.02,-0.38,26W35,08/28,52.0,-0.09,59.4,0.02,65.3,0.05,69.7,0.43
393,3051,力特,23.15,-0.45,-1.91,26W35,08/28,51.3,-0.09,58.0,0.13,65.3,-0.67,69.9,-0.45
394,5410,國眾,36.25,-0.35,-0.96,26W35,08/28,56.5,-0.03,61.7,-0.05,65.3,-0.52,67.9,-0.07
395,6411,晶焱,80.1,0.6,0.75,26W35,08/28,51.6,-0.1,58.1,0.61,65.2,0.12,70.9,0.08
396,4931,新盛力,272.5,7.0,2.64,26W35,08/28,55.2,4.12,57.6,3.87,65.2,5.5,69.3,2.24
397,2363,矽統,51.8,1.1,2.17,26W35,08/28,57.2,0.4,61.0,0.37,65.2,0.62,66.7,0.43
398,4716,大立,19.15,1.7,9.74,26W35,08/28,47.6,0.29,54.6,-0.06,65.2,0.23,67.8,-0.2
399,6657,華安,30.3,-0.1,-0.33,26W35,08/28,44.0,-0.01,55.9,0.28,65.1,-0.05,71.5,-0.03
400,4934,太極,14.55,0.05,0.34,26W35,08/28,54.1,-0.03,60.4,-0.33,65.1,-0.14,66.4,-0.37
401,8076,伍豐,23.25,-0.15,-0.64,26W35,08/28,51.3,0.17,58.1,0.06,65.1,0.13,68.9,-0.12
402,3661,世芯-KY,4065.0,195.0,5.04,26W35,08/28,43.6,0.94,55.1,0.51,65.1,0.94,73.2,0.46
403,6269,台郡,75.0,2.1,2.88,26W35,08/28,54.3,-2.75,59.4,-2.49,65.0,-2.6,68.6,-2.48
404,5498,凱崴,58.1,4.8,9.01,26W35,08/28,58.8,0.34,61.6,0.43,65.0,0.64,66.4,-0.09
405,1540,喬福,19.35,0.0,0.0,26W35,08/28,56.7,0.04,60.8,0.04,65.0,0.03,71.6,0.03
406,6742,澤米,44.55,-0.75,-1.66,26W35,08/28,49.1,0.2,56.2,-0.66,65.0,0.67,70.6,0.0
407,2332,友訊,20.4,0.1,0.49,26W35,08/28,51.9,0.35,58.2,0.3,64.9,0.45,68.3,0.51
408,6229,研通,24.1,0.4,1.69,26W35,08/28,48.5,0.08,55.9,0.05,64.9,1.11,64.9,0.0
409,8054,安國,84.6,0.6,0.71,26W35,08/28,53.6,-1.03,59.4,-0.8,64.9,-0.3,69.5,-0.88
410,4768,晶呈科技,313.0,-16.0,-4.86,26W35,08/28,49.4,-0.06,53.3,0.13,64.8,-0.85,72.7,-1.28
411,6189,豐藝,48.15,0.0,0.0,26W35,08/28,55.9,-0.08,60.7,-0.12,64.8,-0.16,68.0,0.21
412,3491,昇達科,1510.0,85.0,5.96,26W35,08/28,45.0,-0.97,53.9,-1.01,64.7,-0.8,75.4,-1.71
413,6643,M31,437.0,-5.5,-1.24,26W35,08/28,54.9,-0.08,58.1,-0.13,64.7,0.01,64.7,0.01
414,6125,廣運,51.0,-0.3,-0.58,26W35,08/28,58.5,0.23,61.5,0.22,64.7,0.25,66.4,0.24
415,3322,建舜電,11.2,-0.05,-0.44,26W35,08/28,49.6,-0.13,58.0,-0.02,64.6,0.02,68.7,-0.03
416,00981T,平衡凱基雙核收息,11.81,-0.02,-0.17,26W35,08/28,40.7,0.17,53.7,0.18,64.5,0.95,70.0,1.5
417,3356,奇偶,61.9,0.1,0.16,26W35,08/28,51.8,-0.12,57.6,0.42,64.5,1.33,67.2,0.82
418,5490,同亨,28.15,-0.25,-0.88,26W35,08/28,48.4,0.55,56.3,0.69,64.4,1.03,68.4,0.48
419,00982T,平衡兆豐台美動能,15.52,0.19,1.24,26W35,08/28,63.2,1.15,64.4,1.19,64.4,1.19,64.4,1.19
420,00982D,主動富邦動態入息,9.71,-0.03,-0.31,26W35,08/28,45.8,-0.14,56.2,-1.08,64.3,0.13,69.7,0.13
421,5386,青雲,258.5,23.5,10.0,26W35,08/28,56.6,0.21,59.8,-0.43,64.3,0.09,66.0,0.0
422,911868,同方友友-DR,1.17,0.0,0.0,26W35,08/28,40.2,-0.24,50.9,-0.06,64.2,-0.12,69.1,-0.44
423,3541,西柏,21.9,-0.05,-0.23,26W35,08/28,44.6,-0.07,52.4,0.34,64.1,-0.02,65.8,-0.02
424,3011,今皓,10.6,0.0,0.0,26W35,08/28,50.0,0.17,57.0,0.04,64.1,-0.04,68.7,0.63
425,7402,邑錡,112.5,-5.0,-4.26,26W35,08/28,49.4,-1.83,56.7,-1.32,64.1,-1.54,70.8,0.01
426,6512,啟發電,20.6,0.1,0.49,26W35,08/28,32.4,0.0,41.6,0.0,63.9,0.0,72.3,0.0
427,6148,驊宏資,28.3,0.05,0.18,26W35,08/28,53.2,-0.35,59.4,-0.37,63.9,-0.87,64.8,0.0
428,3158,嘉實,83.0,0.0,0.0,26W35,08/28,34.2,-0.01,47.0,-0.02,63.9,-0.02,67.2,-0.02
429,3481,群創,48.6,2.35,5.08,26W35,08/28,54.0,0.29,59.6,0.34,63.9,0.32,66.1,0.36
430,3234,光環,181.5,1.5,0.83,26W35,08/28,50.5,-1.86,56.8,-1.5,63.7,-2.29,68.3,-2.33
431,4510,高鋒,45.75,0.0,0.0,26W35,08/28,57.2,0.52,60.2,0.14,63.7,0.28,66.4,0.27
432,3518,柏騰,27.85,0.2,0.72,26W35,08/28,41.5,0.1,51.1,-0.16,63.7,-0.08,67.4,-0.08
433,6684,安格,47.3,0.3,0.64,26W35,08/28,55.6,0.08,59.6,0.13,63.6,0.1,67.0,0.0
434,6126,信音,29.85,0.0,0.0,26W35,08/28,53.6,-0.11,58.2,0.12,63.6,0.14,64.0,-1.08
435,2342,茂矽,40.55,0.4,1.0,26W35,08/28,57.0,-0.48,60.7,0.26,63.5,0.07,64.1,0.08
436,2380,虹光,19.0,0.25,1.33,26W35,08/28,53.4,0.09,59.9,0.1,63.5,0.11,65.8,0.0
437,8222,寶一,38.9,-1.9,-4.66,26W35,08/28,51.7,-1.17,56.3,-0.78,63.5,0.45,66.2,0.57
438,6190,萬泰科,70.6,1.8,2.62,26W35,08/28,55.0,-0.77,58.6,-0.72,63.4,-0.79,66.6,-0.79
439,00984B,大華優利美A債15,15.85,-0.08,-0.5,26W35,08/28,41.0,-0.53,54.8,-0.33,63.4,-0.11,67.6,-0.53
440,6885,全福生技,22.65,0.0,0.0,26W35,08/28,44.9,0.24,54.8,0.76,63.4,1.13,68.7,-0.48
441,6547,高端疫苗,65.0,1.9,3.01,26W35,08/28,47.0,-0.77,55.4,-0.95,63.4,-0.93,67.8,-0.53
442,6151,晉倫,36.3,-0.1,-0.27,26W35,08/28,47.1,-0.03,54.6,-0.01,63.4,0.0,68.6,-0.02
443,4754,國碳科,38.75,0.1,0.26,26W35,08/28,50.1,0.0,57.7,0.0,63.3,0.0,63.3,0.0
444,4760,勤凱,262.0,1.5,0.58,26W35,08/28,41.3,-0.36,50.8,-1.74,63.3,1.31,65.0,0.0
445,3176,基亞,38.9,0.8,2.1,26W35,08/28,48.7,-0.75,55.8,-0.98,63.2,-0.81,66.8,-2.62
446,4533,協易機,26.5,0.5,1.92,26W35,08/28,55.4,0.12,59.0,0.11,63.1,-0.07,65.2,0.11
447,3260,威剛,412.0,-3.5,-0.84,26W35,08/28,53.4,-4.26,58.3,-4.35,63.1,-4.02,65.7,-4.1
448,3592,瑞鼎,227.0,-1.0,-0.44,26W35,08/28,51.5,-0.14,56.4,-0.3,63.1,0.64,69.0,0.02
449,6509,聚和,46.45,1.0,2.2,26W35,08/28,50.7,0.1,56.5,0.0,63.1,-0.04,66.3,-0.07
