"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股800張以下(%)","800張以下增減","持股1千張以下(%)","1千張以下增減","持股超過1千張(%)","超過1千張增減"
"301","009801","中信美國創新科技","12.56","-0.03","-0.24","26W31","07/31","76.9","+0.14","79.9","+0.2","20.1","-0.2"
"302","6799","來頡","86.3","-5.1","-5.58","26W31","07/31","73","+0.14","79","0","21","0"
"303","6752","叡揚","99.5","-0.1","-0.1","26W31","07/31","73.9","-0.01","78.9","-0.01","21.1","+0.01"
"304","00786B","元大10年IG銀行債","32.64","-0.31","-0.94","26W31","07/31","75.2","-1.01","79.6","-1.01","20.4","+1.01"
"305","00988B","玉山嚴選非投債","19.98","-0.02","-0.1","26W31","07/31","74.4","+4.58","77.9","+4.7","22.1","-4.7"
"306","6909","創控","40.7","-0.15","-0.37","26W31","07/31","73.2","+0.03","78.6","+0.03","21.4","-0.03"
"307","00712","復華富時不動產","8.76","-0.04","-0.45","26W31","07/31","76","-0.89","77.9","-0.94","22.1","+0.94"
"308","00951","台新日本半導體","17.51","-0.56","-3.1","26W31","07/31","79.6","+1.01","80.9","+1.36","19.1","-1.36"
"309","3607","谷崧","14.3","-0.05","-0.35","26W31","07/31","73.6","-0.79","78.6","-0.1","21.4","+0.1"
"310","1312A","國喬特","20.8","0","0","26W31","07/31","73.9","0","78.6","0","21.4","0"
"311","6462","神盾","99.6","-0.4","-0.4","26W31","07/31","75.9","+0.04","79.7","+1.09","20.3","-1.09"
"312","9110","越南控-DR","3.07","-0.06","-1.92","26W31","07/31","71.8","-0.02","78.1","-0.02","21.9","+0.02"
"313","00924","復華S&P500成長","33.93","-0.11","-0.32","26W31","07/31","77.8","+0.21","78.3","+0.21","21.7","-0.21"
"314","00981A","主動統一台股增長","28.03","-0.81","-2.81","26W31","07/31","83.4","-0.1","84.3","-0.18","15.7","+0.24"
"315","6438","迅得","145","-2","-1.36","26W31","07/31","72.6","+1.19","78.3","+1.21","21.7","-1.21"
"316","8066","來思達","14.75","0","0","26W31","07/31","72.8","0","78.2","0","21.8","0"
"317","3587","閎康","255.5","-11.5","-4.31","26W31","07/31","74.3","+1.31","78.2","0","21.8","0"
"318","6226","光鼎","22.05","-0.8","-3.5","26W31","07/31","80.9","+3.89","81.7","+3.89","18.3","-3.89"
"319","6411","晶焱","76.6","-1.7","-2.17","26W31","07/31","74.4","0","78.1","0","21.9","0"
"320","3540","曜越","20.7","+0.3","+1.47","26W31","07/31","77","+1.53","78.1","+1.47","21.9","-1.47"
"321","8176","智捷","9.78","-0.05","-0.51","26W31","07/31","74.3","-0.09","78.1","-0.09","21.9","+0.09"
"322","00404A","主動聯博動能50","9.39","-0.07","-0.74","26W31","07/31","80.1","+1.71","80.7","+1.71","19.3","-1.71"
"323","00713","元大台灣高息低波","61.3","+0.2","+0.33","26W31","07/31","77.3","-0.5","77.7","-0.49","22.3","+0.49"
"324","6269","台郡","66.6","+2.1","+3.26","26W31","07/31","78.3","+1.46","79.6","+1.73","20.4","-1.73"
"325","3710","連展投控","5.03","-0.04","-0.79","26W31","07/31","76.7","+0.25","78","-0.06","22","+0.06"
"326","3715","定穎投控","114.5","-2","-1.72","26W31","07/31","75.7","-0.07","78.5","-0.36","21.5","+0.36"
"327","6122","擎邦","47.05","+0.35","+0.75","26W31","07/31","75.7","-0.01","78.1","-0.01","21.9","+0.01"
"328","6657","華安","31.2","+0.2","+0.65","26W31","07/31","74.6","-0.05","77.9","-1.16","22.1","+1.16"
"329","4971","IET-KY","460.5","-19.5","-4.06","26W31","07/31","73.6","-2.24","75.7","-2.24","24.3","+2.24"
