"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"1396","4930","燦星網","16.25","+0.05","+0.31","26W32","08/07","29.4","0","32.8","0","36.3","0","36.9","0"
"1397","4745","合富-KY","11.9","0","0","26W32","08/07","23.1","-0.23","29","-0.42","36.4","-0.02","40.2","-0.02"
"1398","2752","豆府","180","-0.5","-0.28","26W32","08/07","20.5","0","28.6","0","36.3","0","46.3","0"
"1399","6242","立康","34.1","+0.1","+0.29","26W32","08/07","26.1","-0.02","31.2","0","36.3","0","39.7","0"
"1400","1201","味全","12.25","+0.05","+0.41","26W32","08/07","28.1","+0.1","32","+0.01","36.2","+0.14","38.4","+0.27"
"1401","8423","保綠-KY","17.8","-0.05","-0.28","26W32","08/07","24.6","+0.09","30.8","+0.1","36.2","-0.85","40.9","+0.09"
"1402","4933","友輝","55.1","+0.1","+0.18","26W32","08/07","25.9","+0.11","32.1","-0.27","36.2","-0.01","38.5","+0.01"
"1403","2415","錩新","29.4","+0.65","+2.26","26W32","08/07","30.4","+0.13","33.6","+0.01","36.6","+0.03","40.4","+0.53"
"1404","6147","頎邦","182.5","-5","-2.67","26W32","08/07","31.4","+0.39","33.4","+0.55","35.9","+0.93","38.2","+1.03"
"1405","6578","達邦蛋白","18","+0.05","+0.28","26W32","08/07","26.4","-0.69","32.4","-0.43","36.2","-0.58","39.8","-1.27"
"1406","4770","上品","215","+2","+0.94","26W32","08/07","25","+0.09","30.4","+0.3","35.7","+0.07","37.4","0"
"1407","7768","頌勝科技","290.5","+0.5","+0.17","26W32","08/07","21.8","+0.02","28.9","+0.02","35.5","+0.01","37.7","0"
"1408","6220","岳豐","25.9","-0.15","-0.58","26W32","08/07","22.8","-0.08","27.4","-0.18","36.2","+0.16","41.1","+0.11"
"1409","2643","捷迅","63.1","+0.6","+0.96","26W32","08/07","31.7","0","35.4","0","36","0","36","0"
"1410","4943","康控-KY","8","-0.27","-3.26","26W32","08/07","28.9","-0.01","32.3","0","36","-0.01","39.7","-0.01"
"1411","6491","晶碩","377","+2","+0.53","26W32","08/07","26.8","-0.97","31.7","-1.51","35.7","-2.38","39.6","-2.5"
"1412","2492","華新科","313.5","+28.5","+10","26W32","08/07","25.9","+2.35","28.1","+2.56","30.1","+2.49","31.6","+2.61"
"1413","4430","耀億","17.95","-0.05","-0.28","26W32","08/07","27.3","-0.01","33","+0.01","35.9","+0.05","39.9","0"
"1414","1451","年興","17.4","+0.1","+0.58","26W32","08/07","25.8","-0.13","30.9","-0.44","36.1","-0.06","40.4","0"
"1415","8421","旭源","13.6","-0.05","-0.37","26W32","08/07","27.1","+0.22","30.9","-0.07","36","+0.02","37","+0.02"
"1416","1219","福壽","11.5","-0.3","-2.54","26W32","08/07","28.1","-0.04","32.8","+0.1","36.5","-0.01","38","+0.02"
"1417","2107","厚生","26.9","-0.15","-0.55","26W32","08/07","29","-0.02","32.6","-0.01","36.2","-0.09","39","-0.29"
"1418","8042","金山電","109","+4.5","+4.31","26W32","08/07","28.7","+0.84","30.2","+0.39","33.8","+0.16","35.7","+0.25"
"1419","1752","南光","31.85","+0.15","+0.47","26W32","08/07","29.3","-0.12","33.5","-0.22","35.9","+0.03","36.7","-0.01"
"1420","4572","駐龍","140","0","0","26W32","08/07","23.1","+0.02","28","0","35.8","0","38.1","0"
"1421","8084","巨虹","46","-0.75","-1.6","26W32","08/07","21","-0.07","25.6","-0.33","34.6","-0.35","39.5","-0.35"
"1422","3593","力銘","11","-0.2","-1.79","26W32","08/07","23.2","+0.18","30.5","+0.32","35.8","-0.02","40.4","-1"
"1423","7760","享溫馨","33","-0.3","-0.9","26W32","08/07","14.2","+0.04","23.7","-0.38","37.1","-0.04","46.1","-0.04"
"1424","1444","力麗","7.17","+0.01","+0.14","26W32","08/07","28.7","+0.04","32.8","-0.06","36","-0.05","37.6","-0.07"
"1425","6173","信昌電","239","+21.5","+9.89","26W32","08/07","32","+1.34","33.4","+1.24","35.5","+0.8","37","+0.85"
"1426","3018","隆銘綠能","11.95","-0.05","-0.42","26W32","08/07","30.7","-0.21","33.6","-0.07","35.7","-0.07","36.9","-0.07"
"1427","6414","樺漢","390","-3.5","-0.89","26W32","08/07","20.9","+0.03","26.5","-0.39","32.3","-0.15","39.3","+0.19"
"1428","1783","和康生","40.7","0","0","26W32","08/07","24.6","+0.1","30.2","0","35.9","+0.01","39.8","0"
"1429","2316","楠梓電","164","+3.5","+2.18","26W32","08/07","29.6","-0.33","32","-0.25","34.9","-0.16","37.7","-1.02"
"1430","4414","如興","8.39","-0.02","-0.24","26W32","08/07","25.7","-0.01","30.9","-0.06","36","+0.08","38.8","-0.1"
"1431","6531","愛普*","895","-22","-2.4","26W32","08/07","22.2","-0.28","26.3","-0.47","35","-0.07","41","-0.64"
"1432","8354","冠好","17.25","-0.15","-0.86","26W32","08/07","21.5","-0.27","26.7","-0.12","35.7","-0.12","41.7","-0.11"
"1433","2630","亞航","51.8","-0.9","-1.71","26W32","08/07","31.3","+0.08","33","-0.04","35","-0.03","36","+0.06"
"1434","3663","鑫科","62.8","0","0","26W32","08/07","30.9","-0.05","33","-0.19","35.6","-0.04","36.3","-0.46"
"1435","1531","高林股","13.7","+0.4","+3.01","26W32","08/07","22.5","+0.12","29.1","+0.06","35.7","-0.06","41.2","-0.06"
"1436","9802","鈺齊-KY","71.7","-0.4","-0.55","26W32","08/07","25","+0.27","29.6","+0.33","35.4","+0.57","40.4","+0.33"
"1437","3597","映興","26.4","+0.05","+0.19","26W32","08/07","21.2","-0.12","28.3","+0.39","35.6","-0.07","36.9","-0.07"
"1438","7556","意德士","257.5","-6.5","-2.46","26W32","08/07","26.4","-0.03","32.4","+0.01","35.4","+0.01","40.7","+0.01"
"1439","6751","智聯服務","42.95","0","0","26W32","08/07","29.8","0","33.3","0","35.5","0","40.1","0"
"1440","1560","中砂","695","+5","+0.72","26W32","08/07","22","-0.45","28.1","-0.14","35.3","+0.57","40.4","-0.25"
"1441","7740","熙特爾-創","134","-2.5","-1.83","26W32","08/07","23.7","+0.21","29.2","-0.72","34.6","+0.08","41","+0.08"
"1442","6139","亞翔","775","-9","-1.15","26W32","08/07","24.1","-0.67","28.1","-0.66","33.9","-0.4","39.2","-0.72"
"1443","6725","矽科宏晟","231","-6.5","-2.74","26W32","08/07","27.1","+0.02","30.1","0","35.5","0","36.8","0"
"1444","6535","順藥","78.6","-0.8","-1.01","26W32","08/07","23.6","+0.03","29.6","+0.04","35.3","-0.2","39.3","+0.07"
"1445","6573","虹揚-KY","18.8","+1.1","+6.21","26W32","08/07","30.1","+0.79","32.9","+0.41","35.4","+0.7","38.8","+0.01"
"1446","6028","公勝保經","95.1","0","0","26W32","08/07","19.4","-0.06","26.8","0","35.4","0","49.4","0"
"1447","6208","日揚","82.7","+0.1","+0.12","26W32","08/07","30","-0.02","32.3","-0.24","35.7","+0.04","40.8","+0.04"
"1448","6859","伯特光","108","-1","-0.92","26W32","08/07","20.2","+0.28","23.1","+0.01","35.3","+0.01","40","0"
"1449","8105","凌巨","16.65","+1.5","+9.9","26W32","08/07","33.1","-0.24","36.3","-0.25","39","-0.22","40.3","-0.1"
"1450","2201","裕隆","28.4","-0.25","-0.87","26W32","08/07","27.9","+0.1","31.9","+0.01","35.8","+0.1","37.3","+0.15"
"1451","1722","台肥","44.6","0","0","26W32","08/07","26.8","+0.54","31.1","+0.42","35.1","+0.62","37.5","+0.71"
"1452","6612","奈米醫材","70.8","-0.2","-0.28","26W32","08/07","23.3","0","29","0","35.3","0","42.8","-0.02"
"1453","1231","聯華食","80.6","-0.4","-0.49","26W32","08/07","31.1","+0.19","33.2","+0.09","35.1","-0.01","36.4","+0.17"
"1454","5481","新華","20.8","-0.4","-1.89","26W32","08/07","21.3","+0.34","28.1","+0.26","34.5","-0.01","36.5","-0.01"
"1455","1516","川飛","14.75","-0.15","-1.01","26W32","08/07","26","-0.02","30.4","0","35.2","0","37.5","0"
"1456","3002","歐格","17.45","+0.3","+1.75","26W32","08/07","27.9","-0.08","31.7","-0.23","35","-0.04","36.9","0"
"1457","1568","倉佑","29.1","+0.05","+0.17","26W32","08/07","27.3","-0.07","31","+0.04","34.9","-0.07","37.6","-0.52"
"1458","2906","高林","14.1","0","0","26W32","08/07","26.4","-0.05","30.5","-0.08","35.1","-0.03","38.2","-0.03"
"1459","1817","凱撒衛","40.45","+0.1","+0.25","26W32","08/07","22.9","+0.03","28.7","+0.03","35","+0.03","38.8","0"
"1460","1441","大東","9.09","-0.06","-0.66","26W32","08/07","30.1","0","33.1","0","35","0","38.2","0"
"1461","2419","仲琦","25.1","-0.35","-1.38","26W32","08/07","30.6","-0.11","32.8","-0.37","35","-0.39","36.5","-0.24"
"1462","6982","大井泵浦","47.9","-0.35","-0.73","26W32","08/07","25.4","-0.05","31.2","-0.02","34.9","-0.02","42.9","-0.02"
"1463","3285","微端","41.1","+0.85","+2.11","26W32","08/07","20.3","-0.09","25.1","-0.09","35","-0.08","42.3","-0.07"
"1464","1599","宏佳騰","23.1","+0.1","+0.43","26W32","08/07","27.6","-0.07","31.5","+0.36","35.4","+0.02","37.4","+0.02"
"1465","1210","大成","52","-0.4","-0.76","26W32","08/07","28.7","+0.72","31.6","+0.71","34.5","+0.76","36.5","+0.91"
"1466","2726","雅茗-KY","8.22","-0.06","-0.72","26W32","08/07","25.8","+0.06","31.1","+0.12","34.7","+0.12","41.5","+0.12"
"1467","2114","鑫永銓","89","-0.6","-0.67","26W32","08/07","24.3","0","29.7","0","34.7","0","37.6","0"
"1468","2101","南港","31.75","-0.55","-1.7","26W32","08/07","23.6","-0.19","29.2","-0.21","34","-0.38","37.1","-0.02"
"1469","1608","華榮","37.85","-0.35","-0.92","26W32","08/07","31","-0.36","33.8","-0.34","36.4","-0.26","37.6","-0.22"
"1470","5548","安倉","20.65","+0.15","+0.73","26W32","08/07","25.1","+0.14","31.3","-0.39","35.4","0","36.2","0"
"1471","00686R","群益臺灣加權反1","0.99","0","0","26W32","08/07","16.2","+1.88","26.3","+3.27","38","+4.22","45.8","+4.45"
"1472","1720","生達","56.4","-0.2","-0.35","26W32","08/07","28.5","+0.31","32","+0.63","34.5","+0.26","37.1","+0.14"
"1473","6811","宏碁資訊","225.5","0","0","26W32","08/07","24.9","+0.14","27.4","-0.73","34.7","-0.72","36","-2.03"
"1474","7828","創新服務","1800","+150","+9.09","26W32","08/07","26.3","+0.27","29.2","+0.12","35.6","0","41.3","0"
"1475","6854","錼創科技-KY創","90.7","-3","-3.2","26W32","08/07","23.3","+0.27","27.9","+0.21","34.9","-0.38","38.2","-0.37"
"1476","3055","蔚華科","127.5","+3","+2.41","26W32","08/07","24.1","+1.22","28.1","+1.14","31.5","+1.87","33.2","+1.03"
"1477","3504","揚明光","89.5","-4.6","-4.89","26W32","08/07","30.2","-0.84","32.7","-1.12","35.3","-1.28","37.1","-0.88"
"1478","2646","星宇航空","20.85","-0.25","-1.18","26W32","08/07","30.1","0","32.5","-0.05","34.3","-0.07","35.1","-0.06"
"1479","00720B","元大投資級公司債","31.93","-0.19","-0.59","26W32","08/07","24.1","-0.95","30","-1.14","34.3","-1.31","36.3","-1.38"
"1480","6907","雅特力-KY","186","0","0","26W32","08/07","25.7","+2.39","30.6","+2.6","33.1","+1.35","35.4","+0.46"
"1481","1229","聯華","42.15","0","0","26W32","08/07","27.4","-0.38","31.3","-0.07","34.4","-0.09","35.8","+0.03"
"1482","6640","均華","1060","-15","-1.4","26W32","08/07","26.2","-0.46","30","0","34.3","0","36.2","0"
"1483","3178","公準","62.5","+2.2","+3.65","26W32","08/07","25.6","-0.16","30.2","-0.08","34.1","0","37.2","0"
"1484","5234","達興材料","303.5","+1.5","+0.5","26W32","08/07","21.5","-0.09","28.7","-0.52","34.6","+0.01","38.1","-0.01"
"1485","1776","展宇","17.1","-0.1","-0.58","26W32","08/07","23","-0.04","28.6","0","34.2","0","39.1","0"
