排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
77,00737,國泰AI機器人,40.63,0.6,1.5,26W36,09/04,77.6,0.75,79.6,-0.07,84.9,0.13,86.7,-1.75
78,00771,元大US高息特別股,15.23,-0.02,-0.13,26W36,09/04,74.2,-0.24,80.7,-0.07,84.8,-0.07,88.1,0.0
79,00858,永豐美國500大,36.12,0.46,1.29,26W36,09/04,70.3,-0.64,78.7,-0.44,84.8,-0.4,86.9,-0.41
80,00881,國泰台灣科技龍頭,50.35,0.55,1.1,26W36,09/04,75.9,-0.23,81.8,-0.22,84.7,-0.28,85.5,-0.24
81,00900,富邦特選高股息30,19.75,0.22,1.13,26W36,09/04,72.4,-0.01,80.9,0.01,84.7,-0.09,86.1,-0.15
82,00989A,主動摩根美國科技,16.99,0.46,2.78,26W36,09/04,70.7,1.64,78.2,2.23,84.6,2.57,86.1,3.42
83,6530,創威,98.2,3.2,3.37,26W36,09/04,68.3,2.73,77.8,3.48,84.5,-0.03,84.5,-0.03
84,00730,富邦臺灣優質高息,29.0,0.6,2.11,26W36,09/04,79.9,0.51,81.6,0.27,84.3,1.13,85.7,0.55
85,00984A,主動安聯台灣高息,15.64,0.17,1.1,26W36,09/04,74.3,1.16,81.2,1.14,84.1,1.35,85.2,1.31
86,00877,復華中國5G,36.28,0.17,0.47,26W36,09/04,64.6,0.29,75.4,0.46,84.1,0.66,86.8,0.39
87,00403A,主動統一升級50,10.26,0.2,1.99,26W36,09/04,65.5,1.91,76.9,2.06,84.0,2.11,87.1,2.21
88,00400A,主動國泰動能高息,15.17,0.29,1.95,26W36,09/04,65.3,1.65,76.8,1.95,84.0,2.38,86.8,2.49
89,6150,撼訊,60.6,0.1,0.17,26W36,09/04,75.0,0.07,79.4,0.71,83.9,0.45,88.0,1.52
90,00997A,主動群益美國增長,10.97,0.17,1.57,26W36,09/04,67.2,0.58,77.7,0.88,83.7,0.94,87.4,1.18
91,6207,雷科,111.0,7.0,6.73,26W36,09/04,76.2,4.01,78.2,3.93,83.7,4.59,86.6,4.13
92,00911,兆豐洲際半導體,50.95,0.75,1.49,26W36,09/04,79.9,1.34,82.7,1.34,83.6,1.34,86.2,1.34
93,6443,元晶,24.95,0.4,1.63,26W36,09/04,77.7,0.69,81.2,0.82,83.5,0.75,85.2,0.76
94,3556,禾瑞亞,58.1,-3.3,-5.37,26W36,09/04,73.6,-0.26,77.6,-0.09,83.5,0.0,84.2,0.0
95,00915,凱基優選高股息30,32.64,0.36,1.12,26W36,09/04,79.3,-0.67,81.9,-0.71,83.4,-0.81,84.6,-0.83
96,00985A,主動野村台灣50,23.23,0.39,1.71,26W36,09/04,72.2,-0.2,79.5,-0.31,83.4,-0.12,84.8,-0.24
97,00971,野村美國研發龍頭,17.72,0.33,1.9,26W36,09/04,72.9,-0.27,79.1,-0.26,83.4,0.15,86.1,-0.93
98,00692,富邦公司治理,92.55,1.35,1.48,26W36,09/04,77.6,-0.01,81.6,-0.02,83.3,-0.05,83.9,-0.06
99,4968,立積,91.0,0.6,0.66,26W36,09/04,73.8,-0.01,78.2,-0.34,83.3,-0.56,86.5,-0.01
100,00986A,主動台新龍頭成長,14.25,0.21,1.5,26W36,09/04,74.6,0.17,80.4,-0.04,83.2,0.06,85.7,1.21
101,6494,九齊,56.0,1.0,1.82,26W36,09/04,65.8,-0.13,75.3,-0.16,83.2,-0.16,92.4,0.0
102,1565,精華,98.6,-0.9,-0.9,26W36,09/04,68.2,-0.13,76.2,0.66,83.2,-0.19,88.0,0.0
103,3094,聯傑,46.5,4.2,9.93,26W36,09/04,68.2,-1.22,76.0,-0.9,83.2,-1.33,84.9,-1.11
104,00892,富邦台灣半導體,40.9,0.61,1.51,26W36,09/04,75.1,-1.38,79.8,-1.47,83.1,-1.52,83.5,-1.52
105,00897,富邦基因免疫生技,13.38,0.08,0.6,26W36,09/04,66.4,-0.55,74.8,-0.6,82.9,-0.75,87.0,-1.6
106,00902,中信電池及儲能,13.17,0.16,1.23,26W36,09/04,69.0,-0.29,77.7,-0.24,82.8,-0.05,84.7,0.16
107,8034,榮群,19.45,-0.05,-0.26,26W36,09/04,63.5,-0.35,72.4,0.1,82.8,0.1,85.4,0.1
108,3632,研勤,7.35,0.0,0.0,26W36,09/04,76.8,0.0,80.0,0.0,82.8,0.0,82.8,0.0
109,009811,統一美國50,13.41,0.23,1.75,26W36,09/04,69.3,-0.39,77.9,-0.38,82.8,-0.36,86.1,-0.41
110,00762,元大全球AI,113.35,3.25,2.95,26W36,09/04,74.7,0.09,78.3,0.06,82.7,0.12,83.7,0.12
111,00661,元大日經225,84.15,1.35,1.63,26W36,09/04,72.8,0.16,77.3,0.2,82.6,0.2,89.6,2.73
112,009823,群益S&P500,10.49,0.13,1.25,26W36,09/04,72.6,0.38,79.1,0.58,82.6,0.51,85.7,0.48
113,00885,富邦越南,18.83,0.3,1.62,26W36,09/04,64.1,-0.12,75.0,-0.04,82.4,0.13,84.9,-0.01
114,00678,群益那斯達克生技,44.65,0.25,0.56,26W36,09/04,50.7,1.9,61.2,4.36,82.3,8.84,100.0,0.0
115,00992A,主動群益科技創新,18.47,0.43,2.38,26W36,09/04,68.3,1.59,76.9,1.82,82.2,1.96,84.5,1.97
116,8088,品安,43.15,0.2,0.47,26W36,09/04,76.7,0.78,79.8,0.45,82.2,0.85,82.9,0.85
117,4989,榮科,61.1,0.6,0.99,26W36,09/04,75.3,0.72,79.9,0.77,82.1,0.49,84.3,0.48
118,00850,元大臺灣ESG永續,92.65,1.6,1.76,26W36,09/04,77.6,-0.17,80.8,-0.19,82.0,-0.2,82.7,-0.33
119,00738U,期元大道瓊白銀,52.95,0.75,1.44,26W36,09/04,66.5,0.97,74.5,0.58,81.8,0.86,85.8,1.25
120,00994A,主動第一金台股優,16.91,0.33,1.99,26W36,09/04,68.6,0.29,76.2,-0.16,81.6,0.25,84.4,0.25
121,00405A,主動富邦台灣龍耀,8.68,0.11,1.28,26W36,09/04,61.0,2.38,73.7,2.62,81.5,2.74,84.9,2.96
122,00988A,主動統一全球創新,15.99,0.46,2.96,26W36,09/04,65.1,1.31,75.0,1.46,81.4,1.51,84.2,1.44
123,3567,逸昌,25.5,-0.15,-0.58,26W36,09/04,64.0,-0.38,71.4,-0.61,81.4,0.0,82.6,0.0
124,6237,驊訊,35.2,0.0,0.0,26W36,09/04,73.0,0.06,78.7,0.62,81.3,0.01,82.6,0.01
125,00404A,主動聯博動能50,9.86,0.16,1.65,26W36,09/04,69.5,4.08,77.5,4.59,81.3,5.22,83.9,5.47
126,00960,野村全球航運龍頭,21.27,-0.05,-0.23,26W36,09/04,74.6,5.58,78.8,5.6,81.1,6.61,83.7,7.45
127,00946,群益科技高息成長,15.55,0.31,2.03,26W36,09/04,69.5,0.98,77.0,0.95,80.9,0.99,82.6,0.97
128,4977,眾達-KY,185.0,12.5,7.25,26W36,09/04,69.9,1.98,74.7,2.28,80.8,1.88,84.8,2.84
129,009805,台新美國電力基建,15.04,0.26,1.76,26W36,09/04,67.2,-0.2,75.9,-0.32,80.6,-0.13,83.1,-0.35
130,6104,創惟,97.0,1.7,1.78,26W36,09/04,68.7,0.36,73.5,0.57,80.4,0.67,82.6,0.1
131,4303,信立,34.7,-0.8,-2.25,26W36,09/04,71.4,2.33,77.0,2.5,80.4,2.14,83.5,2.77
132,6517,保勝光學,69.2,2.4,3.59,26W36,09/04,63.9,0.73,69.1,1.39,80.3,1.85,82.0,0.0
133,3043,科風,20.9,0.05,0.24,26W36,09/04,61.7,-0.38,73.4,-0.1,80.3,-0.01,83.8,0.0
134,00401A,主動摩根台灣鑫收,14.13,0.17,1.22,26W36,09/04,67.7,3.3,75.4,4.51,80.3,5.06,81.9,4.96
135,00859B,群益0-1年美債,41.03,0.02,0.05,26W36,09/04,58.8,-0.68,73.4,0.65,80.2,-0.99,85.1,-1.39
136,00928,中信上櫃ESG30,32.43,0.58,1.82,26W36,09/04,72.3,0.27,76.2,-0.47,80.2,-1.14,83.4,-1.22
137,00981A,主動統一台股增長,29.77,0.64,2.2,26W36,09/04,65.5,1.06,74.5,1.22,80.2,1.27,82.5,1.33
138,00991A,主動復華未來50,17.73,0.42,2.43,26W36,09/04,65.2,3.14,74.4,3.44,80.1,3.56,82.6,3.7
139,009801,中信美國創新科技,11.25,0.21,1.9,26W36,09/04,67.3,-0.63,75.9,-0.29,80.1,-0.34,83.5,-0.96
140,4967,十銓,276.0,3.5,1.28,26W36,09/04,69.6,0.22,73.5,0.21,80.1,0.72,84.0,0.04
