" "," ","#","股票代號/名稱","類別","20260211","0226","0306","0313","0320","0327"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","44","2727王品","觀光","0.46","-0.11","-0.29","1.42","0.22","1.65"," ","31","3.35"," ","35.62","227.00","-2.00"," "
" "," ","45","3702大聯大","電子通路","0.14","0.54","0.47","0.39","1.33","0.43"," ","30","3.30"," ","84.76","90.40","-1.70"," "
" "," ","46","3413京鼎","半導體","0.11","1.23","-0.34","0.76","0.04","1.41"," ","31","3.21"," ","42.36","303.50","-7.50"," "
" "," ","47","8016矽創","半導體","-0.18","1.45","0.62","0.27","0.76","0.28"," ","30","3.20"," ","41.41","198.50","0.00"," "
" "," ","48","8464億豐","居家","0.51","0.09","2.78","-0.35","0.47","-0.35"," ","30","3.15"," ","87.64","334.50","-10.50"," "
" "," ","49","6831邁科","電腦週邊","0.62","1.69","1.25","-3.05","1.27","1.36"," ","50","3.14"," ","60.60","379.00","-17.00"," "
" "," ","50","4576大銀微系統","電機","0.16","0.76","-0.41","1.18","-0.45","1.88"," ","31","3.12"," ","66.21","138.00","2.50"," "
" "," ","51","6139亞翔","其他電子","-0.21","-0.52","0.10","0.38","1.81","1.52"," ","30","3.08"," ","70.53","545.00","-29.00"," "
" "," ","52","2441超豐","半導體","-0.25","0.36","0.65","0.15","0.98","1.16"," ","50","3.05"," ","77.28","93.80","-1.70"," "
" "," ","53","2351順德","半導體","-0.37","-0.51","-0.78","1.34","2.65","0.69"," ","30","3.02"," ","67.66","97.10","-7.40"," "
" "," ","54","2393億光","光電","0.02","0.29","0.42","0.84","0.78","0.65"," ","10","3.00"," ","66.81","67.30","-2.20"," "
" "," ","55","6278台表科","光電","0.61","1.56","0.39","0.20","-0.08","0.19"," ","31","2.87"," ","65.80","94.70","-1.40"," "
" "," ","56","7795長廣","電子零組件","0.00","0.97","1.29","0.74","0.09","-0.22"," ","10","2.87"," ","75.52","374.00","6.00"," "
" "," ","57","4564元翎","電機","-0.19","0.85","1.02","0.54","0.77","-0.13"," ","30","2.86"," ","42.12","18.85","0.10"," "
" "," ","58","1721三晃","化學","0.32","0.00","0.26","0.31","1.31","0.64"," ","30","2.84"," ","37.77","18.20","-0.25"," "
" "," ","59","8476台境*","綠能","0.45","0.25","0.56","-0.02","1.23","0.32"," ","30","2.79"," ","65.12","19.00","-0.40"," "
" "," ","60","2413環科","電子零組件","-0.17","5.69","-3.33","-0.61","1.02","0.15"," ","30","2.75"," ","60.44","52.30","-3.30"," "
" "," ","61","6782視陽","生技醫療業","0.13","0.44","0.37","0.18","1.43","0.17"," ","30","2.72"," ","49.05","189.50","-8.00"," "
" "," ","62","3042晶技","電子零組件","0.40","1.31","0.47","-0.05","0.53","0.05"," ","30","2.71"," ","59.34","90.30","-0.80"," "
" "," ","63","2481強茂","半導體","-1.83","0.71","-0.24","2.44","3.18","-1.65"," ","30","2.61"," ","62.57","88.70","-9.20"," "
" "," ","64","3011今皓","電子零組件","-0.01","-0.19","-0.44","3.14","0.15","-0.05"," ","10","2.60"," ","31.90","12.30","-0.15"," "
" "," ","65","3673TPK-KY","光電","-0.08","0.94","-0.10","-0.05","0.31","1.53"," ","50","2.55"," ","48.29","44.90","-1.65"," "
" "," ","66","2497怡利電","汽車","-1.80","-0.43","0.72","-0.30","4.47","-0.14"," ","30","2.52"," ","64.98","48.50","4.40"," "
