" "," ","#","個股代號/名稱","類別","前二月","前一月","本  月","走 勢","總增減"," ","前二月","前一月","本  月","走 勢","總增減","今日收盤價","今日漲跌"," "
" "," ","","1338廣華-KY","汽車","18.3","18.3","18.3","32","0.00"," ","15,344","15,344","15,344","32","0","14.20","0.00"," "
" "," ","","1339昭輝","汽車","45.61","45.82","46.12","50","0.51"," ","33,813","33,966","34,193","50","380","41.10","-0.15"," "
" "," ","","1340勝悅-KY","塑膠","0","0","0","32","0.00"," ","0","0","0","32","0","6.55","-0.13"," "
" "," ","","1341富林-KY","塑膠","0.81","0.81","0.81","32","0.00"," ","432","432","432","32","0","58.40","-0.50"," "
" "," ","","1342八貫","其他","17","17","17.27","41","0.27"," ","13,475","13,475","13,475","32","0","83.60","-1.10"," "
" "," ","","1402遠東新","紡織","26.21","26.21","26.21","32","0.00"," ","1,403,457","1,403,457","1,403,457","32","0","26.30","0.05"," "
" "," ","","1409新纖","紡織","5.54","5.54","5.54","32","0.00"," ","89,720","89,720","89,720","32","0","15.85","-0.10"," "
" "," ","","1410南染","紡織","20.37","20.38","20.38","40","0.01"," ","12,632","12,637","12,637","40","5","31.10","-0.90"," "
" "," ","","1413宏洲","紡織","33.55","33.55","33.55","32","0.00"," ","44,332","44,332","44,332","32","0","9.73","-0.09"," "
" "," ","","1414東和","紡織","18.24","18.27","18.27","40","0.03"," ","40,139","40,214","36,192","30","-3,946","17.45","-0.60"," "
" "," ","","1416廣豐","其他","6.03","6.03","6.03","32","0.00"," ","11,188","11,188","11,188","32","0","11.50","0.10"," "
" "," ","","1417嘉裕","紡織","12.65","12.65","12.65","32","0.00"," ","24,032","24,032","24,032","32","0","9.13","-0.04"," "
" "," ","","1418東華","紡織","45.1","45.1","45.21","41","0.11"," ","25,635","25,635","25,696","41","60","18.75","0.25"," "
" "," ","","1419新紡","紡織","8.42","8.42","8.42","32","0.00"," ","25,265","25,265","25,265","32","0","61.50","0.90"," "
" "," ","","1423利華","紡織","27.5","27.5","27.5","32","0.00"," ","27,410","27,410","27,410","32","0","40.00","-0.15"," "
" "," ","","1432大魯閣","運動","9.19","9.18","9.18","21","-0.01"," ","9,930","9,921","9,921","21","-9","17.55","-0.30"," "
" "," ","","1434福懋","紡織","38.56","38.56","38.56","32","0.00"," ","649,761","649,761","649,761","32","0","16.85","0.15"," "
" "," ","","1435中福","其他","0.06","0.06","0.06","32","0.00"," ","88","88","88","32","0","18.30","0.00"," "
" "," ","","1436華友聯","營建","14.03","14.03","14.03","32","0.00"," ","27,253","27,253","27,253","32","0","53.50","-0.70"," "
" "," ","","1437勤益控","其他","2.3","2.3","2.3","32","0.00"," ","4,694","4,694","4,694","32","0","30.60","-0.05"," "
" "," ","","1438三地開發","營建","7.55","7.55","7.55","32","0.00"," ","8,404","8,404","8,404","32","0","28.45","-1.00"," "
" "," ","","1439雋揚","營建","10.38","10.38","10.38","32","0.00"," ","9,554","9,554","9,554","32","0","27.05","-1.15"," "
" "," ","","1440南紡","紡織","17.84","17.84","17.84","32","0.00"," ","295,634","295,634","295,634","32","0","12.90","-0.10"," "
" "," ","","1441大東","紡織","35.91","35.91","35.91","32","0.00"," ","25,765","25,765","25,765","32","0","9.84","-0.06"," "
" "," ","","1442名軒","營建","4.22","4.22","4.22","32","0.00"," ","15,477","15,477","15,477","32","0","26.00","-0.85"," "
" "," ","","1443立益物流","其他","20.91","20.93","21.01","50","0.10"," ","28,303","28,332","28,441","50","138","23.35","-0.85"," "
" "," ","","1444力麗","紡織","19.96","19.96","19.96","32","0.00"," ","198,776","198,776","198,766","20","-10","6.33","0.07"," "
" "," ","","1445大宇","紡織","27.08","27.08","27.08","32","0.00"," ","35,396","35,396","35,396","32","0","12.70","-0.15"," "
" "," ","","1446宏和","紡織","9.41","9.41","9.41","32","0.00"," ","12,960","12,960","12,960","32","0","16.85","0.00"," "
" "," ","","1447力鵬","紡織","25.51","25.51","25.56","41","0.05"," ","232,169","232,169","232,638","41","469","5.21","-0.01"," "
" "," ","","1449佳和","紡織","9.56","9.56","9.56","32","0.00"," ","12,156","12,156","12,156","32","0","11.55","0.00"," "
" "," ","","1451年興","紡織","19.27","19.27","19.27","32","0.00"," ","38,170","38,170","38,170","32","0","18.00","-0.05"," "
