" "," ","#","個股代號/名稱","類別","前二月","前一月","本  月","走 勢","總增減"," ","前二月","前一月","本  月","走 勢","總增減","今日收盤價","今日漲跌"," "
" "," ","","1101台泥","水泥","7.94","8.1","8.17","50","0.23"," ","613,954","625,627","631,370","50","17,416","24.15","-0.20"," "
" "," ","","1102亞泥","水泥","26.19","26.19","26.19","32","0.00"," ","929,011","929,011","929,011","32","0","35.70","-0.65"," "
" "," ","","1103嘉泥","水泥","17.4","17.4","16.51","20","-0.89"," ","137,537","137,537","137,537","32","0","13.65","-0.10"," "
" "," ","","1104環泥","水泥","25.19","25.19","4.57","20","-20.62"," ","172,995","172,995","31,446","20","-141,549","28.95","-0.05"," "
" "," ","","1108幸福","水泥","3.95","3.95","3.95","32","0.00"," ","16,005","16,005","16,005","32","0","13.80","-0.10"," "
" "," ","","1109信大","水泥","35.02","35.02","35.02","32","0.00"," ","119,485","119,485","119,485","32","0","14.40","-0.10"," "
" "," ","","1110東泥","水泥","31.4","31.4","31.4","32","0.00"," ","179,633","179,633","179,633","32","0","15.55","0.05"," "
" "," ","","1201味全","食品","14.55","14.55","14.55","32","0.00"," ","73,648","73,648","73,648","32","0","12.35","-0.10"," "
" "," ","","1203味王","食品","33.29","33.29","33.34","41","0.05"," ","79,915","79,915","80,029","41","114","43.45","0.65"," "
" "," ","","1210大成","食品","17.74","17.74","17.74","32","0.00"," ","158,764","158,764","158,764","32","0","54.60","-0.10"," "
" "," ","","1213大飲","食品","28.14","28.14","28.14","32","0.00"," ","15,935","15,935","15,935","32","0","8.09","0.09"," "
" "," ","","1215卜蜂","食品","28.38","28.38","28.38","32","0.00"," ","83,677","83,677","83,677","32","0","116.00","1.00"," "
" "," ","","1216統一","食品","9.88","9.88","9.88","32","0.00"," ","561,746","561,746","561,796","41","50","75.10","0.80"," "
" "," ","","1217愛之味","食品","12.74","12.74","12.74","32","0.00"," ","63,010","63,010","63,010","32","0","9.85","-0.04"," "
" "," ","","1218泰山","食品","11.65","11.65","11.65","32","0.00"," ","58,279","58,279","58,279","32","0","17.85","0.05"," "
" "," ","","1219福壽","食品","9.91","9.91","9.54","20","-0.37"," ","33,848","33,848","32,586","20","-1,262","12.45","-0.05"," "
" "," ","","1220台榮","食品","23.33","23.33","23.33","32","0.00"," ","41,318","41,318","41,318","32","0","11.70","0.00"," "
" "," ","","1225福懋油","食品","14.97","2.53","2.53","21","-12.44"," ","36,271","6,130","6,130","21","-30,141","30.00","-1.05"," "
" "," ","","1227佳格","食品","3.2","3.2","3.2","32","0.00"," ","29,320","29,320","29,320","32","0","29.15","0.05"," "
" "," ","","1229聯華","食品","24.16","24.16","24.16","32","0.00"," ","433,995","433,995","433,995","32","0","41.70","0.50"," "
" "," ","","1231聯華食","食品","21.21","21.21","21.21","32","0.00"," ","63,328","63,328","63,305","20","-23","88.00","1.20"," "
" "," ","","1232大統益","食品","61.02","60.96","60.88","10","-0.14"," ","97,624","97,532","97,402","10","-222","142.00","0.00"," "
" "," ","","1233天仁","食品","11.85","11.85","13.16","41","1.31"," ","10,740","10,740","11,931","41","1,191","28.10","0.15"," "
" "," ","","1234黑松","食品","13.15","13.13","13.14","31","-0.01"," ","52,866","52,801","52,811","31","-55","34.95","0.00"," "
" "," ","","1235興泰","食品","31.46","31.46","31.46","32","0.00"," ","59,330","59,330","59,330","32","0","37.50","0.75"," "
" "," ","","1236宏亞","食品","16.74","16.74","16.74","32","0.00"," ","14,512","14,512","14,512","32","0","25.85","0.00"," "
" "," ","","1256鮮活果汁-KY","食品","48.34","48.34","48.12","20","-0.22"," ","17,296","17,296","17,216","20","-80","180.00","-1.00"," "
" "," ","","1301台塑","塑膠","14.46","14.46","14.46","32","0.00"," ","920,748","920,748","920,708","20","-40","49.55","-2.85"," "
" "," ","","1303南亞","塑膠","18.19","18.19","18.19","32","0.00"," ","1,443,156","1,443,156","1,443,156","32","0","154.50","2.00"," "
" "," ","","1304台聚","塑膠","24.41","24.41","24.41","32","0.00"," ","290,242","290,242","290,242","32","0","12.80","-0.90"," "
" "," ","","1305華夏","塑膠","33.13","33.13","33.13","32","0.00"," ","192,516","192,516","192,516","32","0","12.65","-0.75"," "
" "," ","","1307三芳","塑膠","9.47","9.47","9.47","32","0.00"," ","37,693","37,693","37,693","32","0","35.05","-1.35"," "
" "," ","","1308亞聚","塑膠","38.78","38.78","38.78","32","0.00"," ","230,271","230,271","230,271","32","0","13.60","-0.55"," "
" "," ","","1309台達化","塑膠","39.37","39.37","39.37","32","0.00"," ","156,534","156,534","156,534","32","0","14.40","-0.65"," "
" "," ","","1310台苯","塑膠","4.89","4.89","4.89","32","0.00"," ","25,846","25,846","25,846","32","0","9.73","-0.42"," "
" "," ","","1312國喬","塑膠","6.29","6.29","6.29","32","0.00"," ","70,962","70,962","70,962","32","0","13.80","-0.20"," "
" "," ","","1313聯成","塑膠","34.11","34.11","34.13","41","0.02"," ","454,065","454,065","454,265","41","200","11.45","-0.60"," "
" "," ","","1314中石化","塑膠","6.9","6.9","6.9","32","0.00"," ","261,365","261,365","261,365","32","0","7.85","-0.19"," "
" "," ","","1315達新","塑膠","19.82","19.82","19.82","32","0.00"," ","19,651","19,651","19,651","32","0","62.40","0.20"," "
" "," ","","1316上曜","營建","5.34","5","5","21","-0.34"," ","20,083","20,083","20,083","32","0","10.30","-0.20"," "
" "," ","","1319東陽","汽車","18.38","18.38","18.38","32","0.00"," ","108,725","108,725","108,725","32","0","79.40","-5.40"," "
" "," ","","1321大洋","塑膠","5.88","5.88","5.88","32","0.00"," ","13,376","13,376","13,376","32","0","30.55","-0.60"," "
" "," ","","1323永裕","塑膠","13.67","13.67","13.67","32","0.00"," ","12,482","12,482","12,482","32","0","19.85","-0.15"," "
" "," ","","1324地球","塑膠","8.05","8.05","8.05","32","0.00"," ","6,051","6,051","6,051","32","0","10.35","-0.10"," "
" "," ","","1325恆大","塑膠","28.93","28.93","28.93","32","0.00"," ","24,680","24,680","24,680","32","0","25.75","0.15"," "
" "," ","","1326台化","塑膠","5.69","5.69","5.69","32","0.00"," ","334,065","334,065","334,065","32","0","53.10","-3.10"," "
" "," ","","1337再生-KY","塑膠","14.45","14.45","14.45","32","0.00"," ","38,888","38,888","38,888","32","0","4.96","-0.09"," "
" "," ","","1338廣華-KY","汽車","18.3","18.3","18.3","32","0.00"," ","15,344","15,346","15,346","40","2","16.75","-0.45"," "
" "," ","","1339昭輝","汽車","46.61","47.1","47.64","50","1.03"," ","34,556","34,914","35,314","50","758","43.80","0.20"," "
" "," ","","1340勝悅-KY","塑膠","0","0","0","32","0.00"," ","0","0","0","32","0","5.47","-0.19"," "
" "," ","","1341富林-KY","塑膠","0.81","0.81","0.81","32","0.00"," ","432","432","432","32","0","59.00","0.00"," "
" "," ","","1342八貫","其他","17.27","17.27","17.27","32","0.00"," ","13,475","13,475","13,475","32","0","117.00","0.00"," "
" "," ","","1402遠東新","紡織","26.21","26.21","26.22","41","0.01"," ","1,403,457","1,403,457","1,403,657","41","200","28.65","-0.15"," "
" "," ","","1409新纖","紡織","5.54","5.54","5.53","20","-0.01"," ","89,720","89,720","89,660","20","-60","28.55","0.40"," "
" "," ","","1410南染","紡織","20.38","20.38","20.38","32","0.00"," ","12,637","12,637","12,637","32","0","24.65","-0.05"," "
" "," ","","1413宏洲","紡織","33.55","33.55","33.55","32","0.00"," ","44,332","44,332","44,332","32","0","9.35","-0.03"," "
" "," ","","1414東和","紡織","18.27","18.27","18.32","41","0.05"," ","36,192","36,192","36,292","41","100","17.45","-0.10"," "
" "," ","","1416廣豐","其他","6.03","6.03","6.03","32","0.00"," ","11,188","11,188","11,188","32","0","10.90","-0.05"," "
" "," ","","1417嘉裕","紡織","12.65","12.65","12.65","32","0.00"," ","24,032","24,032","24,032","32","0","8.37","-0.06"," "
" "," ","","1418東華","紡織","45.21","45.21","45.21","32","0.00"," ","25,696","25,696","25,696","32","0","18.00","0.00"," "
" "," ","","1419新紡","紡織","8.42","8.42","8.42","32","0.00"," ","25,265","25,265","25,265","32","0","66.50","0.30"," "
" "," ","","1423利華","紡織","27.5","27.5","27.51","41","0.01"," ","27,410","27,410","27,418","41","8","38.60","-0.05"," "
" "," ","","1432大魯閣","運動","9.18","9.18","9.18","32","0.00"," ","9,921","9,921","9,921","32","0","15.85","0.00"," "
" "," ","","1434福懋","紡織","38.56","38.56","38.56","32","0.00"," ","649,761","649,761","649,761","32","0","16.60","-0.30"," "
" "," ","","1435中福","其他","0.06","0.06","0.06","32","0.00"," ","88","88","88","32","0","17.05","1.55"," "
" "," ","","1436華友聯","營建","14.03","14.03","14.03","32","0.00"," ","27,253","27,253","27,253","32","0","45.35","-0.35"," "
" "," ","","1437勤益控","其他","2.32","2.32","2.32","32","0.00"," ","4,694","4,694","4,694","32","0","30.05","0.30"," "
" "," ","","1438三地開發","營建","7.55","7.55","7.55","32","0.00"," ","8,404","8,404","8,404","32","0","21.30","0.15"," "
" "," ","","1439雋揚","營建","10.38","10.38","10.38","32","0.00"," ","9,554","9,554","9,554","32","0","24.25","-0.05"," "
" "," ","","1440南紡","紡織","17.84","17.84","17.84","32","0.00"," ","295,634","295,634","295,634","32","0","13.40","-0.10"," "
" "," ","","1441大東","紡織","35.91","35.91","35.91","32","0.00"," ","25,765","25,765","25,765","32","0","9.07","-0.05"," "
" "," ","","1442名軒","營建","4.22","4.22","4.22","32","0.00"," ","15,477","15,477","15,477","32","0","27.35","-0.05"," "
" "," ","","1443立益物流","其他","21.05","21.07","21.13","50","0.08"," ","28,494","28,528","28,604","50","110","27.35","-0.10"," "
" "," ","","1444力麗","紡織","19.96","19.96","19.96","32","0.00"," ","198,766","198,766","198,766","32","0","6.92","-0.09"," "
" "," ","","1445大宇","紡織","27.08","27.08","27.08","32","0.00"," ","35,396","35,396","35,396","32","0","10.65","-0.05"," "
" "," ","","1446宏和","紡織","9.41","9.41","9.41","32","0.00"," ","12,960","12,960","12,960","32","0","16.70","0.15"," "
" "," ","","1447力鵬","紡織","25.61","25.61","27.2","41","1.59"," ","233,120","233,120","247,582","41","14,462","6.07","0.05"," "
" "," ","","1449佳和","紡織","9.55","9.45","9.42","10","-0.13"," ","12,147","12,021","11,985","10","-162","15.00","0.65"," "
" "," ","","1451年興","紡織","19.27","19.27","19.27","32","0.00"," ","38,170","38,170","38,170","32","0","16.80","0.05"," "
" "," ","","1452宏益","紡織","8.21","8.21","8.21","32","0.00"," ","10,892","10,892","10,892","32","0","10.95","0.00"," "
" "," ","","1453大將","營建","19.67","19.67","19.67","32","0.00"," ","22,275","22,275","22,275","32","0","11.55","-0.10"," "
" "," ","","1454台富","紡織","29.89","29.89","29.89","32","0.00"," ","38,816","38,816","38,816","32","0","12.90","-0.05"," "
" "," ","","1455集盛","紡織","16.4","16.69","16.85","50","0.45"," ","87,234","88,766","89,597","50","2,363","9.40","-0.36"," "
" "," ","","1456怡華","營建","47.63","47.5","47.44","10","-0.19"," ","44,644","44,521","44,464","10","-180","15.00","-0.60"," "
" "," ","","1457宜進","紡織","9.41","9.41","9.41","32","0.00"," ","29,826","29,826","29,826","32","0","14.15","-0.05"," "
" "," ","","1459聯發","紡織","17.5","17.5","17.69","41","0.19"," ","62,776","62,776","63,449","41","673","11.80","0.10"," "
" "," ","","1460宏遠","紡織","26.89","26.89","26.89","32","0.00"," ","186,791","186,791","186,791","32","0","7.04","-0.11"," "
