" "," ","#","個股代號/名稱","類別","前二月","前一月","本  月","走 勢","總增減"," ","前二月","前一月","本  月","走 勢","總增減","今日收盤價","今日漲跌"," "
" "," ","","1101台泥","水泥","8.1","8.17","8.22","50","0.12"," ","625,627","631,370","635,529","50","9,902","23.80","-0.20"," "
" "," ","","1102亞泥","水泥","26.19","26.19","26.19","32","0.00"," ","929,011","929,011","929,011","32","0","32.75","0.05"," "
" "," ","","1103嘉泥","水泥","17.4","16.51","16.51","21","-0.89"," ","137,537","137,537","137,537","32","0","13.15","0.05"," "
" "," ","","1104環泥","水泥","25.19","4.57","4.57","21","-20.62"," ","172,995","31,446","31,446","21","-141,549","26.80","0.25"," "
" "," ","","1108幸福","水泥","3.95","3.95","3.95","32","0.00"," ","16,005","16,005","16,005","32","0","12.15","-0.05"," "
" "," ","","1109信大","水泥","35.02","35.02","35.02","32","0.00"," ","119,485","119,485","119,485","32","0","13.80","-0.05"," "
" "," ","","1110東泥","水泥","31.4","31.4","32.56","41","1.16"," ","179,633","179,633","186,281","41","6,648","15.95","-0.10"," "
" "," ","","1201味全","食品","14.55","14.55","14.55","32","0.00"," ","73,648","73,648","73,648","32","0","12.45","0.05"," "
" "," ","","1203味王","食品","33.29","33.34","33.35","50","0.06"," ","79,915","80,029","80,055","50","140","46.90","-0.30"," "
" "," ","","1210大成","食品","17.74","17.74","17.73","20","-0.01"," ","158,764","158,764","158,727","20","-38","57.80","0.90"," "
" "," ","","1213大飲","食品","28.14","28.14","28.14","32","0.00"," ","15,935","15,935","15,935","32","0","7.24","-0.41"," "
" "," ","","1215卜蜂","食品","28.38","28.38","28.38","32","0.00"," ","83,677","83,677","83,677","32","0","109.50","0.00"," "
" "," ","","1216統一","食品","9.88","9.88","9.88","32","0.00"," ","561,746","561,796","561,796","40","50","77.40","0.40"," "
" "," ","","1217愛之味","食品","12.74","12.74","12.74","32","0.00"," ","63,010","63,010","63,010","32","0","9.98","0.03"," "
" "," ","","1218泰山","食品","11.65","11.65","11.65","32","0.00"," ","58,279","58,279","58,279","32","0","16.20","0.25"," "
" "," ","","1219福壽","食品","9.91","9.54","9.54","21","-0.37"," ","33,848","32,586","32,586","21","-1,262","11.85","0.20"," "
" "," ","","1220台榮","食品","23.33","23.33","23.33","32","0.00"," ","41,318","41,318","41,318","32","0","11.40","0.00"," "
" "," ","","1225福懋油","食品","2.53","2.53","2.53","32","0.00"," ","6,130","6,130","6,130","32","0","26.65","0.10"," "
" "," ","","1227佳格","食品","3.2","3.2","3.2","32","0.00"," ","29,320","29,320","29,320","32","0","29.20","0.40"," "
" "," ","","1229聯華","食品","24.16","24.16","24.16","32","0.00"," ","433,995","433,995","433,995","32","0","41.65","-0.85"," "
" "," ","","1231聯華食","食品","21.21","21.21","21.21","32","0.00"," ","63,328","63,305","63,305","21","-23","91.90","-0.10"," "
" "," ","","1232大統益","食品","60.96","60.88","60.78","10","-0.18"," ","97,532","97,402","97,233","10","-299","154.00","2.00"," "
" "," ","","1233天仁","食品","11.85","13.16","13.52","50","1.67"," ","10,740","11,931","12,254","50","1,514","29.20","0.05"," "
" "," ","","1234黑松","食品","13.13","13.14","13.14","40","0.01"," ","52,801","52,811","52,811","40","10","33.65","0.05"," "
" "," ","","1235興泰","食品","31.46","31.46","31.46","32","0.00"," ","59,330","59,330","59,330","32","0","36.50","0.70"," "
" "," ","","1236宏亞","食品","16.74","16.74","16.74","32","0.00"," ","14,512","14,512","14,512","32","0","23.55","0.00"," "
" "," ","","1256鮮活果汁-KY","食品","48.34","48.12","48.12","21","-0.22"," ","17,296","17,216","17,216","21","-80","183.50","-4.50"," "
" "," ","","1301台塑","塑膠","14.46","14.46","14.46","32","0.00"," ","920,748","920,708","920,708","21","-40","62.70","-3.50"," "
" "," ","","1303南亞","塑膠","18.19","18.19","18.2","41","0.01"," ","1,443,156","1,443,156","1,443,964","41","808","177.50","-19.50"," "
" "," ","","1304台聚","塑膠","24.41","24.41","24.41","32","0.00"," ","290,242","290,242","290,242","32","0","12.90","-0.55"," "
" "," ","","1305華夏","塑膠","33.13","33.13","33.13","32","0.00"," ","192,516","192,516","192,516","32","0","12.45","-0.30"," "
" "," ","","1307三芳","塑膠","9.47","9.47","9.47","32","0.00"," ","37,693","37,693","37,693","32","0","32.30","-0.30"," "
" "," ","","1308亞聚","塑膠","38.78","38.78","38.78","32","0.00"," ","230,271","230,271","230,271","32","0","14.10","-0.45"," "
" "," ","","1309台達化","塑膠","39.37","39.37","39.37","32","0.00"," ","156,534","156,534","156,534","32","0","14.80","-0.60"," "
" "," ","","1310台苯","塑膠","4.89","4.89","4.27","20","-0.62"," ","25,846","25,846","22,559","20","-3,287","9.96","-0.24"," "
" "," ","","1312國喬","塑膠","6.29","6.29","6.29","32","0.00"," ","70,962","70,962","70,962","32","0","13.20","-0.75"," "
" "," ","","1313聯成","塑膠","34.11","34.13","34.13","40","0.02"," ","454,065","454,265","454,265","40","200","11.95","-0.35"," "
" "," ","","1314中石化","塑膠","6.9","6.9","6.9","32","0.00"," ","261,365","261,365","261,365","32","0","8.27","-0.14"," "
" "," ","","1315達新","塑膠","19.82","19.82","19.83","41","0.01"," ","19,651","19,651","19,652","41","1","63.50","-0.70"," "
" "," ","","1316上曜","營建","5","5","5","32","0.00"," ","20,083","20,083","20,083","32","0","10.25","0.05"," "
" "," ","","1319東陽","汽車","18.38","18.38","18.35","20","-0.03"," ","108,725","108,725","108,590","20","-135","72.10","-0.80"," "
" "," ","","1321大洋","塑膠","5.88","5.88","5.88","32","0.00"," ","13,376","13,376","13,376","32","0","32.15","0.35"," "
" "," ","","1323永裕","塑膠","13.67","13.67","12.83","20","-0.84"," ","12,482","12,482","11,719","20","-763","20.00","0.05"," "
" "," ","","1324地球","塑膠","8.05","8.05","8.05","32","0.00"," ","6,051","6,051","6,051","32","0","10.35","0.05"," "
" "," ","","1325恆大","塑膠","28.93","28.93","28.93","32","0.00"," ","24,680","24,680","24,680","32","0","27.70","-0.55"," "
" "," ","","1326台化","塑膠","5.69","5.69","5.69","32","0.00"," ","334,065","334,065","334,065","32","0","67.50","-4.20"," "
" "," ","","1337再生-KY","塑膠","14.45","14.45","14.45","32","0.00"," ","38,888","38,888","38,888","32","0","4.86","-0.03"," "
" "," ","","1338廣華-KY","汽車","18.3","18.3","18.3","32","0.00"," ","15,346","15,346","15,346","32","0","15.75","-0.40"," "
" "," ","","1339昭輝","汽車","47.1","47.64","48.13","50","1.03"," ","34,914","35,314","35,682","50","768","44.35","-0.60"," "
" "," ","","1340勝悅-KY","塑膠","0","0","0","32","0.00"," ","0","0","0","32","0","5.30","-0.04"," "
" "," ","","1341富林-KY","塑膠","0.81","0.81","0.81","32","0.00"," ","432","432","432","32","0","59.10","0.70"," "
" "," ","","1342八貫","其他","17.27","17.27","17.27","32","0.00"," ","13,475","13,475","13,475","32","0","111.00","-2.00"," "
" "," ","","1402遠東新","紡織","26.21","26.22","26.22","40","0.01"," ","1,403,457","1,403,657","1,404,057","50","600","27.35","0.15"," "
" "," ","","1409新纖","紡織","5.54","5.53","5.53","21","-0.01"," ","89,720","89,660","89,660","21","-60","23.35","-0.45"," "
" "," ","","1410南染","紡織","20.38","20.38","20.38","32","0.00"," ","12,637","12,637","12,637","32","0","26.40","-0.25"," "
" "," ","","1413宏洲","紡織","33.55","33.55","33.55","32","0.00"," ","44,332","44,332","44,332","32","0","10.30","0.91"," "
" "," ","","1414東和","紡織","18.27","18.32","18.35","50","0.08"," ","36,192","36,292","36,347","50","155","17.75","0.00"," "
" "," ","","1416廣豐","其他","6.03","6.03","6.03","32","0.00"," ","11,188","11,188","11,188","32","0","10.90","-0.10"," "
" "," ","","1417嘉裕","紡織","12.65","12.65","12.65","32","0.00"," ","24,032","24,032","24,032","32","0","8.45","-0.05"," "
" "," ","","1418東華","紡織","45.21","45.21","45.21","32","0.00"," ","25,696","25,696","25,696","32","0","18.70","-0.55"," "
" "," ","","1419新紡","紡織","8.42","8.42","8.42","32","0.00"," ","25,265","25,265","25,265","32","0","66.70","0.90"," "
" "," ","","1423利華","紡織","27.5","27.51","27.61","50","0.11"," ","27,410","27,418","27,517","50","107","35.60","-0.40"," "
" "," ","","1432大魯閣","運動","9.18","9.18","9.18","32","0.00"," ","9,921","9,921","9,921","32","0","15.00","-0.05"," "
" "," ","","1434福懋","紡織","38.56","38.56","38.32","20","-0.24"," ","649,761","649,761","645,609","20","-4,152","19.15","-0.35"," "
" "," ","","1435中福","其他","0.06","0.06","0.06","32","0.00"," ","88","88","88","32","0","23.20","2.10"," "
" "," ","","1436華友聯","營建","14.03","14.03","14.03","32","0.00"," ","27,253","27,253","27,253","32","0","38.15","-0.70"," "
" "," ","","1437勤益控","其他","2.32","2.32","2.32","32","0.00"," ","4,694","4,694","4,694","32","0","30.90","-0.10"," "
" "," ","","1438三地開發","營建","7.55","7.55","7.55","32","0.00"," ","8,404","8,404","8,404","32","0","22.00","0.00"," "
" "," ","","1439雋揚","營建","10.38","10.38","5.94","20","-4.44"," ","9,554","9,554","5,471","20","-4,083","26.30","-0.05"," "
" "," ","","1440南紡","紡織","17.84","17.84","17.84","32","0.00"," ","295,634","295,634","295,634","32","0","12.75","-0.10"," "
" "," ","","1441大東","紡織","35.91","35.91","32.05","20","-3.86"," ","25,765","25,765","23,001","20","-2,764","9.08","0.01"," "
" "," ","","1442名軒","營建","4.22","4.22","4.22","32","0.00"," ","15,477","15,477","15,477","32","0","29.95","0.35"," "
" "," ","","1443立益物流","其他","21.07","21.13","21.19","50","0.12"," ","28,528","28,604","28,679","50","151","26.20","0.00"," "
" "," ","","1444力麗","紡織","19.96","19.96","19.96","32","0.00"," ","198,766","198,766","198,766","32","0","8.00","-0.10"," "
" "," ","","1445大宇","紡織","27.08","27.08","31.45","41","4.37"," ","35,396","35,396","41,107","41","5,711","10.80","-0.05"," "
" "," ","","1446宏和","紡織","9.41","9.41","9.41","32","0.00"," ","12,960","12,960","12,960","32","0","14.05","0.05"," "
" "," ","","1447力鵬","紡織","25.61","27.2","27.36","50","1.75"," ","233,120","247,582","249,033","50","15,913","7.50","-0.18"," "
" "," ","","1449佳和","紡織","9.45","9.42","9.55","31","0.10"," ","12,021","11,985","12,144","31","123","12.70","-0.05"," "
" "," ","","1451年興","紡織","19.27","19.27","19.27","32","0.00"," ","38,170","38,170","38,170","32","0","17.40","0.00"," "
" "," ","","1452宏益","紡織","8.21","8.21","8.21","32","0.00"," ","10,892","10,892","10,892","32","0","11.65","0.10"," "
" "," ","","1453大將","營建","19.67","19.67","19.67","32","0.00"," ","22,275","22,275","22,275","32","0","11.15","0.05"," "
" "," ","","1454台富","紡織","29.89","29.89","29.89","32","0.00"," ","38,816","38,816","38,816","32","0","12.55","-0.15"," "
" "," ","","1455集盛","紡織","16.69","16.85","16.85","40","0.16"," ","88,766","89,597","89,597","40","831","9.12","0.11"," "
" "," ","","1456怡華","營建","47.5","47.44","47.27","10","-0.23"," ","44,521","44,464","44,303","10","-218","13.40","-0.15"," "
" "," ","","1457宜進","紡織","9.41","9.41","9.41","32","0.00"," ","29,826","29,826","29,826","32","0","14.30","0.05"," "
" "," ","","1459聯發","紡織","17.5","17.69","17.96","50","0.46"," ","62,776","63,449","64,411","50","1,635","",""," "
" "," ","","1460宏遠","紡織","26.89","26.89","26.89","32","0.00"," ","186,791","186,791","186,791","32","0","6.92","0.00"," "
" "," ","","1463強盛新","紡織","17.03","17.03","17.03","32","0.00"," ","29,522","29,522","29,522","32","0","17.85","0.00"," "
" "," ","","1464得力","紡織","9.38","9.38","10.13","41","0.75"," ","39,929","39,929","43,114","41","3,185","10.40","0.00"," "
" "," ","","1465偉全","紡織","21.34","21.34","21.34","32","0.00"," ","22,120","22,120","22,120","32","0","12.85","0.05"," "
" "," ","","1466聚隆","紡織","23.96","23.96","24.18","41","0.22"," ","26,635","26,635","26,879","41","244","17.00","-0.35"," "
" "," ","","1467南緯","紡織","34.21","34.21","34.21","32","0.00"," ","79,928","79,928","79,928","32","0","10.00","-0.30"," "
" "," ","","1468昶和","紡織","30.29","30.29","30.29","32","0.00"," ","48,602","48,602","48,602","32","0","13.10","-0.30"," "
" "," ","","1470大統新創","紡織","13.75","13.75","12.27","20","-1.48"," ","11,799","11,799","10,524","20","-1,275","22.75","0.25"," "
" "," ","","1471首利","電子零組件","12.74","12.74","12.74","32","0.00"," ","19,173","19,173","19,173","32","0","9.73","-0.09"," "
" "," ","","1472三洋實業","營建","32.97","32.97","41.67","41","8.70"," ","17,308","17,308","21,875","41","4,567","89.50","0.50"," "
" "," ","","1473台南","紡織","21.8","20.99","20.94","10","-0.86"," ","31,868","30,679","30,609","10","-1,259","20.30","0.15"," "
" "," ","","1474弘裕","紡織","18.67","18.67","18.67","32","0.00"," ","24,254","24,254","24,254","32","0","10.45","0.00"," "
