統一代號,股票名稱,產業別,B0_股價日期,B0_成交,B0_漲跌幅,B0_成交張數,B0_成交額(百萬),B0_PER,B0_5日均量,B0_5日均額(百萬),B0_量價狀態,B0_金額日變化率(%),B0_爆發倍數(X),今日上榜,△,法人持股,外資持股比,最新動態,5日ΔChange,20日ΔChange,60日ΔChange,120日ΔChange,B2_外資成交動態,B2_投信成交動態,B2_外資發行動態,B2_投信發行動態,B3_連買狀態,軋空評估,套牢評估,B4_融資減幅_當日,B4_融資減幅_5日,B4_融資減張_當日,B4_融資減張_5日,B4_融資減張_當日估算(萬),B4_借券減幅_當日,B4_借券減幅_5日,B4_借券減張_當日,B4_借券減張_5日,B4_借券減張_當日估算(萬),B4_融券增幅_當日,B4_融券增幅_5日,B4_融券增張_當日,B4_融券增張_5日,B4_融券增張_當日估算(萬),B4_融資增幅_當日,B4_融資增幅_5日,B4_借券增幅_當日,B4_借券增幅_5日,B4_融資增張_當日,B4_融資增張_5日,B4_融資增張_當日估算(萬),B4_借券增張_當日,B4_借券增張_5日,B4_借券增張_當日估算(萬),B4_借券實際減額_當日,B4_借券實際減額_5日,B4_借券實際增額_當日,B4_借券實際增額_5日,B5_1000張_週動態,B5_1000張_最新週,B5_1000張_6周,B5_800張_週動態,B5_800張_最新週,B5_800張_6周,B5_600張_週動態,B5_600張_最新週,B5_600張_6周,B5_400張_週動態,B5_400張_最新週,B5_400張_6周,B5_共振狀態,B6_總額(億),B6_成交均價,B6_收盤價,B6_防守狀態,B7_董監持股%,B7_董監質押%,B7_持股近月增減%,B7_持股動態,B7_持股近半年增減%,B7_質押近月增減%,B7_質押動態,B8_日連買,B8_週連買,B8_囤貨張數
8045,達運光電,通信網路業,09/17,54.6,3.41,468.0,25.7,63.5,386.0,20.14,⚖️ 溫和震盪整理,-44.492440604751614,1.28,,0.0,,1.40,🔄 持平,,,,,🔄 持平 (0%),,💤 籌碼沉澱中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↗️ 微增,0.01,-0.04,↗️ 微增,0.01,0.05,↗️ 微增,0.02,-1.48,↗️ 微增,0.05,-0.9099999999999999,雙引擎,,,,,16.3,0.83,0.0,🔄 持平,0.0,0.0,➖ 持平,2,4,269.0
8046,南電,電子零組件業,09/17,1065.0,-3.62,8133.0,8874.0,125.0,7264.0,7851.4,🥀 平量價縮 (下跌中繼，弱反彈信號),2.2703699435288716,1.13,🔵120日,-0.14220270158130077,24.73153651409736,11.50,📉 下降,,,,3.7632537140443105,🔄 持平 (0%),🔥 強延續 (1.41%),💤 籌碼沉澱中,🔥 持續加碼 (0.02%),🏦 投信日連買(3)-🆕 試單觀察 | 🌐 外資週連買(2)-🌱 週線發動,,,,,104.0,-246.0,11076.0,,,,,,-6.53,33.2,-37.0,132.0,-3940.5,,,,,,,,484.0,214.0,51546.0,,,52806.0,23037.0,↗️ 微增,0.2,-1.0800000000000003,↘️ 微減,-0.05,-0.96,↗️ 微增,0.35,-1.0999999999999999,↗️ 微增,0.28,-1.1700000000000002,雙引擎,,,,,61.4,0,0.0,🔄 持平,-4.6,0.0,➖ 持平,3,3,3692.0
8070,長華*,電子通路業,09/17,50.1,1.73,1869.0,93.9,29.6,1427.0,70.86,⚖️ 溫和震盪整理,113.40909090909092,1.33,,0.0,,11.00,🔄 持平,,,,,,🔥 強延續 (22.5%),,🔥 持續加碼 (0.06%),,,,,,,,,,,,,,0.0,50.0,0.0,8.0,0.0,,,,,10.0,91.0,50.1,,,,,,,,↗️ 微增,0.17,0.56,↗️ 微增,0.15,1.01,↘️ 微減,-0.05,0.34,↘️ 微減,-0.09,0.45999999999999996,,,,,,30.3,0,0.0,🔄 持平,0.0,0.0,➖ 持平,4,4,2022.0
8072,陞泰,電子通路業,09/17,26.6,-0.56,127.0,3.4,16.0,395.0,10.75,⚖️ 溫和震盪整理,-80.23255813953489,0.32,,,,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,↘️ 微減,-0.04,0.039999999999999994,,,,,,38.8,0,0.0,🔄 持平,0.0,0.0,➖ 持平,2,4,59.0
8081,致新,半導體業,09/17,251.0,1.41,351.0,88.1,13.6,245.0,60.7,⏸️ 平量滯漲 (拋壓增大，高位見頂),61.948529411764696,1.45,🔴5日 🟡20日,0.13535812484582976,21.73940602008502,18.90,🪜 階梯吸籌 | 📈 上升,0.39201617340708594,0.6822008030629654,,,🔥 強延續 (27.1%),📉 調節洗盤 (-1.14%),🔥 持續加碼 (0.11%),🔄 今日量縮持平,🌐 外資日連買(4)-🆕 試單觀察 | 🏦 投信週連買(3)-🌱 週線發動,🔼 進駐,,,,,,,,,,,,,,,,,,,,,,,,,,,-377.0,-972.0,,,🔄 持平,0.0,0.050000000000000044,🔄 持平,-0.0,1.99,📈 小增,0.83,2.11,📈 小增,0.65,0.9999999999999999,,,,,,9.68,0,0.0,🔄 持平,0.0,0.0,➖ 持平,3,4,448.0
8101,華冠,通信網路業,09/17,12.3,0.41,8.0,0.09,,6.0,0.07,⏸️ 平量滯漲 (拋壓增大，高位見頂),125.0,1.29,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,-0.87,,,,,,36.3,34.4,0.0,🔄 持平,-1.9,8.0,🚨 暴增,2,3,30.0
8103,瀚荃,電子零組件業,09/17,132.0,10.0,10402.0,1340.0,23.0,4839.0,587.2,🚀 放量大漲 (量價齊升，持續看漲),91.70243204577969,2.28,🟡20日,-0.3200000000000003,20.835753260232064,20.80,📉 下降,,3.75,,,,,💤 籌碼沉澱中,,,,,,,,,,,,153.0,-131.0,2019.6,,,59.0,20.0,778.8,0.06,16.6,,,4.0,963.0,52.8,,,,1972.0,-1193.0,,,🚨 劇減,-2.04,1.3300000000000003,🚨 劇減,-1.95,4.98,📉 小減,-0.98,5.7700000000000005,🚨 劇減,-1.52,5.26,,,,,,10.2,0,0.0,🔄 持平,-0.7,0.0,➖ 持平,3,4,2347.0
8104,錸寶,光電業,09/17,30.1,2.03,280.0,8.4,,223.0,6.59,⚖️ 溫和震盪整理,78.72340425531914,1.27,🟡20日,0.010000000000000231,2.39,2.40,🪜 階梯吸籌 | ⚠️ 趨緩,,0.6200000000000001,,,,,,,🌐 外資日連買(2)-🆕 試單觀察 | 🌐 外資週連買(2)-🌱 週線發動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,↘️ 微減,-0.02,0.009999999999999995,↘️ 微減,-0.07,0.42,,,,,,28.2,0,0.0,🔄 持平,0.0,0.0,➖ 持平,2,3,248.0
8105,凌巨,光電業,09/17,14.6,1.39,1275.0,18.5,17.0,1308.0,18.92,⏸️ 平量滯漲 (拋壓增大，高位見頂),12.12121212121211,0.98,🟡20日,0.0899999999999963,40.53811256114048,40.10,🪜 階梯吸籌 | 📈 上升,,0.6638869871002129,,,,,💤 籌碼沉澱中,,🌐 外資日連買(2)-🆕 試單觀察 | 🌐 外資週連買(2)-🌱 週線發動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↗️ 微增,0.03,-0.24,↗️ 微增,0.41,0.33000000000000007,↗️ 微增,0.21,-0.61,↗️ 微增,0.11,-0.42000000000000015,雙引擎,,,,,32.8,42.4,2.1,🔥 大增,-20.3,-17.7,🌟 遽減,2,3,2429.0
8110,華東,半導體業,09/17,43.1,2.86,8719.0,380.0,7.88,3594.0,152.84,⚖️ 溫和震盪整理,285.78680203045684,2.49,,-2.187937381203375,,2.00,📉 下降,,,,,🔄 持平 (0%),,💤 籌碼沉澱中,,,,,,,,,,,,,,,23.8,24.7,35.0,36.0,150.8,3.12,2.23,,,458.0,330.0,1974.0,838.0,286.0,3611.8,,,,,↘️ 微減,-0.28,-0.20000000000000007,↘️ 微減,-0.26,-0.2,↘️ 微減,-0.13,-0.3,↘️ 微減,-0.14,-0.35000000000000003,,,,,,35.1,0,-0.7,🚨 減/大減,-1.8,0.0,➖ 持平,2,4,1409.0
