統一代號,股票名稱,產業別,B0_股價日期,B0_成交,B0_漲跌幅,B0_成交張數,B0_成交額(百萬),B0_PER,B0_5日均量,B0_5日均額(百萬),B0_量價狀態,B0_金額日變化率(%),B0_爆發倍數(X),今日上榜,△,法人持股,外資持股比,最新動態,5日ΔChange,20日ΔChange,60日ΔChange,120日ΔChange,B2_外資成交動態,B2_投信成交動態,B2_外資發行動態,B2_投信發行動態,B3_連買狀態,軋空評估,套牢評估,B4_融資減幅_當日,B4_融資減幅_5日,B4_融資減張_當日,B4_融資減張_5日,B4_融資減張_當日估算(萬),B4_借券減幅_當日,B4_借券減幅_5日,B4_借券減張_當日,B4_借券減張_5日,B4_借券減張_當日估算(萬),B4_融券增幅_當日,B4_融券增幅_5日,B4_融券增張_當日,B4_融券增張_5日,B4_融券增張_當日估算(萬),B4_融資增幅_當日,B4_融資增幅_5日,B4_借券增幅_當日,B4_借券增幅_5日,B4_融資增張_當日,B4_融資增張_5日,B4_融資增張_當日估算(萬),B4_借券增張_當日,B4_借券增張_5日,B4_借券增張_當日估算(萬),B4_借券實際減額_當日,B4_借券實際減額_5日,B4_借券實際增額_當日,B4_借券實際增額_5日,B5_1000張_週動態,B5_1000張_最新週,B5_1000張_6周,B5_800張_週動態,B5_800張_最新週,B5_800張_6周,B5_600張_週動態,B5_600張_最新週,B5_600張_6周,B5_400張_週動態,B5_400張_最新週,B5_400張_6周,B5_共振狀態,B6_總額(億),B6_成交均價,B6_收盤價,B6_防守狀態,B7_董監持股%,B7_董監質押%,B7_持股近月增減%,B7_持股動態,B7_持股近半年增減%,B7_質押近月增減%,B7_質押動態,B8_日連買,B8_週連買,B8_囤貨張數
1259,安心,觀光餐旅,09/18,68.0,5.43,91.0,6.01,19.2,25.0,1.66,🚀 放量大漲 (量價齊升，持續看漲),441.4414414414414,3.62,,,,26.20,,,,,,🔄 持平 (0%),,,,,,,,,,,,,,,,,,,,,,11.4,11.4,,,,,,,,,,,,,↘️ 微減,-0.16,-0.23,↘️ 微減,-0.16,2.86,↘️ 微減,-0.16,0.8200000000000001,↘️ 微減,-0.16,0.8200000000000001,,,,,,52.6,23.5,0.0,🔄 持平,0.0,0.0,➖ 持平,2.0,3.0,125.0
1264,德麥,食品工業,09/18,244.0,-0.2,17.0,4.21,11.5,34.0,8.26,⚖️ 溫和震盪整理,25.671641791044774,0.51,,,,1.80,,,,,,,,,,,,⚠️ 初危,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,-2.24,🔄 持平,-0.0,-0.09000000000000001,🔄 持平,-0.0,-0.09000000000000001,,,,,,15.9,0,0.0,🔄 持平,0.0,0.0,➖ 持平,16.0,4.0,7.021999999999999
1268,漢來美食,觀光餐旅,09/18,174.0,0.58,26.0,4.6,13.2,22.0,3.81,⏸️ 平量滯漲 (拋壓增大，高位見頂),28.49162011173183,1.21,,,,1.80,,,,,,,,,,,,,0.0,-5.56,,,,,,,,,,,,,,,,2.78,12.1,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,,,,,,16.0,0,0.0,🔄 持平,0.0,0.0,➖ 持平,10.0,4.0,76.426
1294,漢田生技,食品工業,09/18,51.5,0.0,8.0,0.39,12.6,11.0,0.53,⏸️ 平量滯漲 (拋壓增大，高位見頂),-23.529411764705877,0.74,,,,2.10,,,,,,🔄 持平 (0%),,,,🌐 外資週連買(2)-🌱 週線發動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↗️ 微增,0.01,3.24,↗️ 微增,0.01,7.54,↗️ 微增,0.01,0.52,↗️ 微增,0.01,4.0,雙引擎 | 長短線,,,,,21.2,0,-4.2,🚨 減/大減,0.1,0.0,➖ 持平,2.0,4.0,21.0
1295,生合,食品工業,09/18,44.45,-0.11,35.0,1.57,10.8,15.0,0.7,⚠️ 放量滯漲 (拋壓增大，即將見頂反轉),185.45454545454544,2.24,,,,1.40,,,,,,,,,,,,⚠️ 初危,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔄 持平,0.0,-0.039999999999999994,🔄 持平,-0.0,4.64,🔄 持平,-0.0,0.30000000000000004,🔄 持平,-0.0,1.4200000000000002,,,,,,15.2,0,1.3,🔥 大增,-11.7,0.0,➖ 持平,5.0,4.0,6.640000000000001
1336,台翰,電子零組件業,09/18,17.35,3.58,346.0,5.9,23.4,242.0,4.03,⚖️ 溫和震盪整理,-1.8302828618968259,1.46,,,,4.30,,,,,,🔄 持平 (0%),,💤 籌碼沉澱中,,🌐 外資日連買(3)-🆕 試單觀察 | 🌐 外資週連買(4)-🌱 週線發動,,,,,,,,0.0,-9.27,,,,,,,,,,,,,,,,,,,,,,,↗️ 微增,0.05,0.4,⚠️ 大減,-1.09,0.39999999999999986,⚠️ 大減,-1.07,-1.29,📉 小減,-0.5,0.7299999999999999,,,,,,29.2,0,0.0,🔄 持平,0.0,0.0,➖ 持平,3.0,4.0,166.0
1565,精華,生技醫療業,09/18,98.0,1.55,241.0,23.3,12.2,139.0,13.36,⚖️ 溫和震盪整理,102.60869565217389,1.74,,,,8.90,,,,,,🔥 強延續 (31.5%),,,,🌐 外資日連買(2)-🆕 試單觀察 | 🌐 外資週連買(16)-👑 長線主控,,,,,,,,,,,,,,,,,,,,,,,,,,,,-96.3,-443.0,,,🚨 劇減,-2.08,0.009999999999999787,↘️ 微減,-0.14,-0.030000000000000013,↘️ 微減,-0.14,-0.030000000000000013,📈 小增,0.67,0.3,,,,,,8.02,0,0.0,🔄 持平,0.0,0.0,➖ 持平,3.0,4.0,110.7
1569,濱川,電腦及週邊設備業,09/18,55.5,6.73,5216.0,285.0,,1781.0,94.16,🚀 放量大漲 (量價齊升，持續看漲),301.9746121297602,3.03,,,,4.20,,,,,,🔄 持平 (0%),,🔥 持續加碼 (0.36%),,🌐 外資日連買(4)-🆕 試單觀察 | 🌐 外資週連買(2)-🌱 週線發動,,,,,,,,,,-204.0,-264.0,-1132.2,37.0,78.6,27.0,44.0,149.8,,,,,,,,,,,-1112.0,-1415.0,,,📉 小減,-0.5,-2.27,📉 小減,-0.97,-2.07,↘️ 微減,-0.02,-0.7000000000000001,↗️ 微增,0.31,-1.4200000000000002,,,,,,16.8,36.0,0.0,🔄 持平,0.0,0.0,➖ 持平,7.0,4.0,432.79999999999995
1570,力肯,電機機械,09/18,32.3,-0.92,45.0,1.45,46.8,29.0,0.92,⚠️ 放量滯漲 (拋壓增大，即將見頂反轉),33.0275229357798,1.58,,,,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.13,↗️ 微增,0.04,0.34,↗️ 微增,0.04,-0.5599999999999998,,,,,,40.4,0,0.0,🔄 持平,0.0,0.0,➖ 持平,3.0,4.0,148.003
1580,新麥,電機機械,09/18,98.4,1.76,143.0,13.8,8.58,140.0,13.46,⚖️ 溫和震盪整理,14.049586776859524,1.03,,,,5.40,,,,,,🔥 強延續 (23.8%),,💤 籌碼沉澱中,,,,,-12.1,-6.45,,,,1.3,-7.86,,,,,,,,,,,,,,,,,,,58.0,-385.0,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,↘️ 微減,-0.11,-1.6099999999999999,↘️ 微減,-0.11,-1.6099999999999999,,,,,,12.9,0,0.0,🔄 持平,0.0,0.0,➖ 持平,14.0,4.0,52.0
