排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 年度,政府 機構 (%),政府 機構 增減,僑外 投資 (%),僑外 投資 增減,本國金 融機構 (%),本國金 融機構 增減,本國 法人 (%),本國 法人 增減,本國 個人 (%),本國 個人 增減,庫藏 股票 (%),庫藏 股票 增減
601,2321,東訊,14.7,0.3,2.08,2026,0.0,0.0,0.01,-0.07,0.0,0.0,64.1,-1.26,35.9,1.32,0,0.0
602,2323,中環,10.15,0.21,2.11,2026,0.0,0.0,11.8,1.82,0.02,-0.26,5.37,1.75,82.9,-3.32,0,0.0
603,2324,仁寶,36.35,0.35,0.97,2026,0.0,0.0,34.5,-7.26,18.7,-2.21,10.5,0.61,36.2,8.86,0,0.0
604,2328,廣宇,42.7,1.55,3.77,2026,0.08,0.08,7.91,-10.6,0.0,-0.73,27.6,-0.95,64.4,12.2,0,0.0
605,2329,華泰,42.35,1.8,4.44,2026,0.0,0.0,10.8,3.64,0.73,-0.41,37.7,9.84,50.7,-13.1,0,0.0
606,2331,精英,18.7,0.3,1.63,2026,0.0,-0.15,7.14,-0.5,0.35,0.35,49.4,0.0,43.2,0.29,0,0.0
607,2337,旺宏,110.5,10.0,9.95,2026,2.59,1.03,26.0,12.7,9.14,5.06,2.65,-1.18,59.6,-17.6,0,0.0
608,2340,台亞,29.4,2.0,7.3,2026,0.0,0.0,10.9,1.72,1.26,0.17,22.8,-0.16,65.0,-1.73,0,0.0
609,2342,茂矽,33.65,1.5,4.67,2026,0.03,0.03,3.2,-4.22,0.61,-0.25,31.3,-0.17,64.9,4.61,0,0.0
610,2344,華邦電,143.0,13.0,10.0,2026,3.1,1.85,16.2,5.83,7.13,4.2,29.6,-0.58,44.0,-11.3,0,0.0
611,2345,智邦,2335.0,210.0,9.88,2026,6.27,2.58,57.5,-1.02,14.3,0.46,11.9,-0.05,10.1,-1.97,0,0.0
612,2347,聯強,91.7,-2.0,-2.13,2026,0.0,0.0,33.2,2.53,20.2,-2.78,33.8,1.65,12.8,-1.4,0,0.0
613,2349,錸德,10.7,0.05,0.47,2026,0.0,0.0,11.2,-1.66,0.02,0.01,2.82,0.41,85.9,1.24,0,0.0
614,2351,順德,156.5,11.0,7.56,2026,1.39,0.05,13.2,1.79,3.39,-1.03,19.2,2.77,62.8,-3.58,0,0.0
615,2352,佳世達,28.45,1.1,4.02,2026,0.73,-0.28,9.16,-1.65,4.72,-0.33,24.2,-1.17,61.2,3.43,0,0.0
616,2353,宏碁,28.8,-0.05,-0.17,2026,0.94,0.06,10.4,-11.2,9.24,4.76,9.98,-7.42,69.4,13.8,0,0.0
617,2354,鴻準,56.4,-0.1,-0.18,2026,1.25,-0.89,12.4,-6.22,1.86,0.09,29.7,-0.2,54.8,7.22,0,0.0
618,2356,英業達,63.9,2.1,3.4,2026,0.37,0.03,12.7,-0.1,10.9,-1.66,21.8,0.89,54.2,0.84,0,0.0
619,2357,華碩,799.0,-11.0,-1.36,2026,0.0,0.0,33.3,-13.9,30.2,9.43,6.9,-1.82,29.6,6.25,0,0.0
620,2359,所羅門,132.5,11.5,9.5,2026,0.0,0.0,3.5,-0.98,0.0,0.0,14.0,0.92,82.5,0.05,0,0.0
621,2360,致茂,1960.0,-140.0,-6.67,2026,3.34,2.72,59.8,-6.83,10.9,5.09,7.7,2.78,18.2,-3.75,0,0.0
622,2363,矽統,49.85,0.65,1.32,2026,0.0,0.0,5.42,-0.58,0.33,0.1,22.0,-1.26,72.3,1.75,0,0.0
623,2364,倫飛,70.7,0.4,0.57,2026,0.0,0.0,14.8,-3.87,0.0,-0.01,36.4,-0.09,48.8,3.97,0,0.0
624,2365,昆盈,28.45,0.4,1.43,2026,0.0,0.0,0.52,-1.04,0.14,-0.55,5.09,0.46,94.3,1.13,0,0.0
625,2367,燿華,38.0,1.9,5.26,2026,0.01,-0.64,6.54,-2.66,0.3,0.29,12.4,0.52,80.8,2.51,0,-0.03
626,2368,金像電,872.0,79.0,9.96,2026,0.0,0.0,25.9,10.4,17.8,-3.94,15.4,0.1,40.9,-6.53,0,0.0
627,2369,菱生,32.0,2.6,8.84,2026,0.0,0.0,13.9,0.56,5.66,-0.35,2.65,0.96,77.7,-1.17,0,0.0
