排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 年度,政府 機構 (%),政府 機構 增減,僑外 投資 (%),僑外 投資 增減,本國金 融機構 (%),本國金 融機構 增減,本國 法人 (%),本國 法人 增減,本國 個人 (%),本國 個人 增減,庫藏 股票 (%),庫藏 股票 增減
1,3708,上緯投控,91.9,4.1,4.67,2026,0.01,-0.11,6.77,-1.46,1.77,0.11,21.2,1.83,61.9,-8.05,8.33,7.69
2,4735,豪展,30.5,0.5,1.67,2026,0.0,0.0,0.14,0.02,0.15,0.0,14.5,-0.93,77.8,-1.24,7.37,2.16
3,1598,岱宇,20.1,0.3,1.52,2026,0.0,0.0,1.98,-3.27,0.0,0.0,32.5,-3.64,58.3,-0.32,7.23,7.23
4,5481,新華,20.0,-0.25,-1.23,2026,0.0,0.0,26.8,-2.03,0.0,0.0,9.33,-1.19,56.9,3.22,7.0,0.0
5,3171,炎洲流通,65.6,1.4,2.18,2026,0.0,0.0,0.66,0.28,0.0,0.0,65.3,4.55,27.8,-4.66,6.21,-0.17
6,1563,巧新,54.4,1.5,2.84,2026,0.0,0.0,1.74,-0.53,0.31,-0.24,12.2,1.25,79.8,-2.11,5.93,1.63
7,6165,浪凡,48.55,1.25,2.64,2026,0.0,0.0,3.91,-2.71,0.0,0.0,2.88,-0.84,87.8,1.62,5.36,1.93
8,1586,和勤,18.6,0.4,2.2,2026,0.0,0.0,0.71,-1.38,0.0,-0.38,28.4,15.7,65.7,-12.7,5.2,-1.2
9,6617,共信-KY,76.0,1.1,1.47,2026,0.0,0.0,23.7,-14.6,0.05,0.05,9.03,0.08,62.3,11.8,5.0,2.73
10,3339,泰谷,33.3,2.6,8.47,2026,0.0,0.0,1.44,-0.97,0.0,0.0,16.6,1.85,77.1,-2.09,4.89,1.21
11,3040,遠見,35.0,-0.4,-1.13,2026,0.0,0.0,0.34,-5.48,0.0,0.0,41.9,1.6,53.0,-0.88,4.76,4.76
12,6741,91APP*-KY,55.3,0.9,1.65,2026,0.03,0.03,38.5,-11.1,1.78,-2.5,15.5,4.39,39.5,8.28,4.74,0.92
13,8097,常珵,51.8,0.7,1.37,2026,0.0,0.0,0.33,-3.4,0.01,-0.06,22.8,5.32,72.2,-2.58,4.69,0.72
14,5009,榮剛,31.8,0.3,0.95,2026,0.09,-0.82,8.71,-0.1,5.42,-6.41,26.0,-0.1,55.1,2.78,4.65,4.65
15,4966,譜瑞-KY,562.0,30.0,5.64,2026,0.02,0.02,25.8,-16.2,17.0,0.96,2.93,-0.35,49.7,15.3,4.61,0.19
16,8906,花王,25.6,0.55,2.2,2026,0.0,0.0,0.39,-0.67,0.0,0.0,31.7,0.83,63.6,-0.17,4.26,0.0
17,5263,智崴,93.4,1.2,1.3,2026,0.0,0.0,12.4,-5.16,1.34,-0.2,18.8,-0.36,63.5,1.85,4.06,3.86
18,5245,智晶,22.3,0.0,0.0,2026,0.0,0.0,2.96,-0.53,0.19,0.17,50.0,-0.38,42.8,0.75,4.06,-0.01
19,2732,六角,64.2,1.9,3.05,2026,0.0,0.0,3.87,0.12,0.03,0.02,42.1,-0.03,50.1,-2.06,3.92,1.95
20,6906,現觀科,68.2,0.3,0.44,2026,0.0,0.0,9.76,0.98,0.0,-0.58,38.5,-0.24,47.9,-2.04,3.88,1.88
21,1338,廣華-KY,15.5,0.35,2.31,2026,0.0,0.0,6.37,-0.78,1.04,-0.84,2.47,-0.51,86.4,0.96,3.67,1.17
22,3138,耀登,86.0,4.2,5.13,2026,0.0,0.0,1.36,-0.98,0.11,-0.13,14.6,-1.93,80.2,-0.63,3.66,3.66
23,5489,彩富,40.4,0.3,0.75,2026,0.0,0.0,0.75,0.21,0.0,0.0,32.3,-0.01,63.5,-0.28,3.49,0.08
24,2636,台驊控股,66.3,1.1,1.69,2026,0.0,0.0,9.68,-1.6,0.0,0.0,30.6,2.15,56.3,0.5,3.44,-1.05
25,4923,力士,39.6,2.75,7.46,2026,0.0,0.0,0.51,-0.07,0.46,0.25,19.2,1.3,76.5,-1.47,3.39,0.0
